epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
75,2.457628,0.987054,0.579260,0.964029,2.960070,0.00088120,0.0000,16.00
76,2.449936,0.987649,0.473435,0.977218,3.408616,0.00087767,0.0000,15.79
77,2.440291,0.990923,0.453982,0.977218,3.419252,0.00087410,0.0000,16.17
78,2.437686,0.989732,0.389551,0.986811,3.585278,0.00087049,0.0000,16.12
79,2.420429,0.991964,0.406364,0.978417,3.564915,0.00086683,0.0000,16.07
80,2.417894,0.992262,0.441580,0.982014,3.519824,0.00086313,0.0000,15.98
81,2.406509,0.992857,0.397720,0.984412,3.641048,0.00085939,0.0000,15.91
82,2.399906,0.993155,0.455929,0.973621,3.394757,0.00085561,0.0000,16.03
83,2.399854,0.990774,0.527643,0.971223,3.307259,0.00085178,0.0000,16.05
84,2.388468,0.991369,0.393575,0.979616,3.754954,0.00084791,0.0000,15.87
85,2.384990,0.993304,0.411948,0.983213,3.670927,0.00084401,0.0000,15.64
86,2.381960,0.994345,0.383241,0.985612,3.762079,0.00084006,0.0000,16.25
87,2.382865,0.993006,0.505855,0.970024,3.369299,0.00083607,0.0000,16.05
88,2.370047,0.994494,0.409743,0.980815,3.747535,0.00083204,0.0000,16.04
89,2.370368,0.995089,0.370367,0.985612,3.786327,0.00082797,0.0000,15.82
90,2.350881,0.996875,0.352602,0.977218,3.899486,0.00082387,0.0000,16.07
91,2.355811,0.994494,0.418162,0.983213,3.636247,0.00081973,0.0000,15.72
92,2.342187,0.997024,0.354522,0.980815,3.930192,0.00081555,0.0000,16.02
93,2.345870,0.996131,0.431391,0.983213,3.646734,0.00081133,0.0000,15.96
94,2.329466,0.998065,0.593378,0.978417,3.091274,0.00080707,0.0000,15.90
95,2.336718,0.997024,0.463029,0.983213,3.588075,0.00080278,0.0000,15.84
96,2.331412,0.996726,0.819345,0.925659,2.554877,0.00079846,0.0000,14.17
97,2.327714,0.997470,0.335932,0.989209,4.011642,0.00079410,0.0000,13.52
98,2.324354,0.997470,0.451693,0.979616,3.567569,0.00078970,0.0000,13.74
99,2.319184,0.997768,0.769211,0.949640,2.744355,0.00078528,0.0000,13.90
100,2.320741,0.997321,0.642768,0.960432,3.050462,0.00078081,0.0000,14.01
101,2.316779,0.997619,0.386566,0.989209,3.915295,0.00077632,0.0000,13.69
102,2.310317,0.998214,0.380581,0.983213,3.796504,0.00077179,0.0000,13.98
103,2.306412,0.998363,0.474759,0.976019,3.485875,0.00076723,0.0000,14.20
104,2.306723,0.997917,0.349491,0.990408,4.030659,0.00076264,0.0000,14.03
105,2.300205,0.998512,0.327441,0.991607,4.101862,0.00075802,0.0000,13.53
106,2.293111,0.998363,0.378959,0.985612,3.927258,0.00075337,0.0000,13.91
107,2.296517,0.997917,0.353242,0.990408,4.050446,0.00074869,0.0000,13.68
108,2.288398,0.998810,0.413316,0.984412,3.843749,0.00074398,0.0000,13.71
109,2.286919,0.999107,0.323381,0.992806,4.072444,0.00073924,0.0000,13.65
110,2.280600,0.998810,0.369944,0.991607,4.005806,0.00073447,0.0000,14.02
111,2.281217,0.998065,0.543297,0.974820,3.355376,0.00072968,0.0000,13.91
112,2.278790,0.998810,0.431469,0.983213,3.699784,0.00072485,0.0000,13.85
113,2.275219,0.998363,0.363431,0.986811,4.008696,0.00072001,0.0000,14.04
114,2.273987,0.998958,0.343692,0.980815,4.119735,0.00071513,0.0000,13.88
115,2.269536,0.998661,0.345380,0.990408,4.146445,0.00071023,0.0000,13.69
116,2.266399,0.998810,0.342295,0.991607,4.140645,0.00070531,0.0000,13.49
117,2.265192,0.999405,0.463441,0.983213,3.624137,0.00070036,0.0000,13.73
118,2.270790,0.998363,0.323375,0.989209,4.176802,0.00069539,0.0000,13.60
119,2.258764,0.999405,0.374714,0.988010,3.954145,0.00069040,0.0000,14.12
120,2.258468,0.999405,0.324285,0.992806,4.163059,0.00068538,0.0000,13.99
121,2.259781,0.999405,0.312896,0.988010,4.287526,0.00068035,0.0000,14.16
122,2.253782,0.998810,0.397529,0.990408,3.904850,0.00067529,0.0000,13.76
123,2.254472,0.999256,0.337066,0.988010,4.208597,0.00067021,0.0000,13.76
124,2.252916,0.998661,0.380175,0.990408,4.007540,0.00066511,0.0000,13.93
125,2.256364,0.999554,0.337734,0.990408,4.186231,0.00065999,0.0000,13.57
126,2.255665,0.999256,0.322812,0.994005,4.281635,0.00065485,0.0000,13.66
127,2.245795,0.998958,0.465043,0.979616,3.652543,0.00064970,0.0000,13.88
128,2.243539,0.999851,0.359857,0.990408,4.105060,0.00064453,0.0000,14.23
129,2.241466,0.998661,0.332609,0.994005,4.264752,0.00063934,0.0000,13.72
130,2.237323,1.000000,0.546097,0.979616,3.436392,0.00063413,0.0000,13.80
131,2.235655,0.999256,0.330544,0.991607,4.238396,0.00062891,0.0000,13.98
132,2.237761,0.999702,0.333762,0.991607,4.243893,0.00062367,0.0000,13.84
133,2.233978,0.999107,0.332131,0.989209,4.249475,0.00061842,0.0000,13.02
134,2.229293,0.999851,0.341156,0.988010,4.163018,0.00061316,0.0000,9.12
135,2.230394,0.999107,0.337265,0.990408,4.249632,0.00060788,0.0000,9.01
136,2.230296,0.999554,0.545446,0.984412,3.496658,0.00060259,0.0000,9.03
137,2.227350,0.999554,0.337847,0.990408,4.243247,0.00059728,0.0000,9.00
138,2.222866,0.999702,0.349817,0.992806,4.178161,0.00059197,0.0000,9.10
139,2.223847,0.999405,0.341569,0.989209,4.250263,0.00058665,0.0000,9.01
140,2.219086,0.999702,0.355777,0.992806,4.256099,0.00058131,0.0000,9.03
141,2.226294,0.999405,0.297896,0.991607,4.383841,0.00057597,0.0000,9.08
142,2.222949,0.999405,0.349041,0.990408,4.236445,0.00057061,0.0000,9.03
143,2.219448,0.999256,0.358445,0.988010,4.206110,0.00056525,0.0000,9.00
144,2.214879,0.999702,0.324951,0.992806,4.330533,0.00055988,0.0000,8.98
145,2.213733,0.999702,0.375012,0.990408,4.154332,0.00055451,0.0000,9.02
146,2.213591,0.999554,0.306973,0.995204,4.407838,0.00054912,0.0000,8.99
147,2.212223,0.999702,0.288245,0.991607,4.524368,0.00054373,0.0000,9.02
148,2.210766,0.999851,0.318364,0.992806,4.420929,0.00053834,0.0000,8.99
149,2.208965,0.999554,0.341596,0.995204,4.352350,0.00053294,0.0000,8.95
150,2.206522,0.999554,0.384046,0.992806,4.126007,0.00052754,0.0000,9.17
151,2.206492,0.999554,0.316235,0.991607,4.330435,0.00052214,0.0000,9.05
152,2.203770,0.999702,0.345970,0.991607,4.313230,0.00051673,0.0000,9.01
153,2.197553,0.999851,0.383821,0.990408,4.047513,0.00051132,0.0000,8.97
154,2.200915,0.999851,0.292957,0.995204,4.526135,0.00050591,0.0000,8.98
155,2.203260,0.999554,0.333234,0.994005,4.382607,0.00050050,0.0000,8.99
156,2.199678,0.999702,0.385754,0.986811,4.098012,0.00049509,0.0000,9.02
157,2.195144,0.999702,0.432242,0.990408,3.995869,0.00048968,0.0000,8.97
158,2.192989,0.999702,0.315924,0.991607,4.448980,0.00048427,0.0000,9.01
159,2.198482,0.999702,0.309046,0.995204,4.424929,0.00047886,0.0000,8.98
160,2.193372,0.999405,0.323002,0.996403,4.426496,0.00047346,0.0000,8.96
161,2.189680,0.999702,0.377785,0.989209,4.171510,0.00046806,0.0000,9.03
162,2.192521,1.000000,0.312218,0.991607,4.450848,0.00046266,0.0000,8.99
163,2.187868,0.999851,0.406695,0.992806,4.113800,0.00045727,0.0000,9.14
