global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
66,2,16,3.694590,4.398683,0.3735,4.806843,0.1667,0.019430,5,66.8
67,2,17,3.580368,4.303116,0.4141,4.452479,0.2398,0.018781,5,66.5
68,2,18,3.435983,4.187091,0.4540,4.200273,0.2782,0.018109,5,67.2
69,2,19,3.331037,4.088677,0.4925,3.839829,0.4065,0.017417,5,66.9
70,2,20,3.217400,4.001735,0.5231,3.735193,0.4305,0.016708,5,66.0
71,2,21,3.105635,3.904393,0.5613,3.683313,0.4412,0.015984,5,65.5
72,2,22,3.025702,3.828850,0.6019,3.951243,0.3789,0.015249,5,66.4
73,2,23,2.935767,3.763876,0.6355,3.562898,0.4652,0.014504,5,67.0
74,2,24,2.863122,3.692703,0.6578,3.846861,0.4173,0.013753,5,67.4
75,2,25,2.780204,3.616844,0.6821,3.986730,0.3693,0.013000,5,66.8
76,2,26,2.703480,3.551314,0.7109,3.325422,0.5588,0.012247,5,67.0
77,2,27,2.660193,3.503702,0.7263,3.310568,0.5588,0.011496,5,67.0
78,2,28,2.602162,3.454121,0.7458,3.276860,0.5492,0.010751,5,66.6
79,2,29,2.534827,3.402538,0.7803,3.320142,0.5600,0.010016,5,66.2
80,2,30,2.500598,3.359894,0.7888,3.234118,0.5827,0.009292,5,66.1
81,2,31,2.438077,3.317365,0.7996,3.018659,0.6391,0.008583,5,67.4
82,2,32,2.363778,3.249568,0.8386,3.043480,0.6367,0.007891,5,67.6
83,2,33,2.313212,3.216389,0.8519,2.963004,0.6595,0.007219,5,67.6
84,2,34,2.290528,3.177025,0.8591,2.934729,0.6727,0.006570,5,67.7
85,2,35,2.268804,3.150428,0.8648,2.972538,0.6655,0.005947,5,67.1
86,2,36,2.239813,3.136262,0.8729,2.897459,0.6739,0.005351,5,66.9
87,2,37,2.209890,3.103216,0.8858,2.804972,0.6978,0.004785,5,66.1
88,2,38,2.179247,3.066086,0.8900,2.868554,0.6930,0.004252,5,66.4
89,2,39,2.156520,3.063467,0.8993,2.767483,0.7170,0.003754,5,67.1
90,2,40,2.142371,3.045485,0.8987,2.770671,0.7074,0.003292,5,66.8
91,2,41,2.106949,3.026882,0.9156,2.734923,0.7278,0.002868,5,65.7
92,2,42,2.106871,3.006751,0.9117,2.753952,0.7002,0.002484,5,66.8
93,2,43,2.073555,3.010503,0.9261,2.760894,0.7182,0.002142,5,66.9
94,2,44,2.077014,2.994290,0.9180,2.686867,0.7338,0.001843,5,66.8
95,2,45,2.054582,2.975001,0.9360,2.693492,0.7326,0.001587,5,66.6
96,2,46,2.062689,2.985811,0.9243,2.683457,0.7362,0.001377,5,67.1
97,2,47,2.064960,2.961861,0.9234,2.680075,0.7266,0.001213,5,66.8
98,2,48,2.040824,2.965897,0.9282,2.676315,0.7314,0.001095,5,66.5
99,2,49,2.025380,2.965784,0.9345,2.675582,0.7470,0.001024,5,66.6
100,2,50,2.026590,2.948936,0.9324,2.653326,0.7314,0.001000,5,66.9
101,3,1,6.725177,0.000000,0.0015,6.652779,0.0012,0.024976,3,18.0
102,3,2,6.413969,0.000000,0.0069,6.275604,0.0120,0.024905,3,18.2
103,3,3,6.053791,0.000000,0.0174,6.610312,0.0060,0.024787,3,17.7
104,3,4,5.767078,0.000000,0.0309,5.810317,0.0324,0.024623,3,17.8
105,3,5,5.493999,0.000000,0.0445,5.776474,0.0336,0.024413,3,17.6
106,3,6,5.294383,0.000000,0.0658,5.596949,0.0528,0.024157,3,17.7
107,3,7,5.055197,0.000000,0.0928,5.776489,0.0504,0.023858,3,17.4
108,3,8,4.846969,0.000000,0.1232,6.016817,0.0300,0.023516,3,17.7
109,3,9,4.635136,0.000000,0.1689,5.459273,0.0851,0.023132,3,17.3
110,3,10,4.440553,0.000000,0.2091,6.706112,0.0180,0.022708,3,17.2
111,3,11,4.263109,0.000000,0.2518,5.170491,0.1163,0.022246,3,17.9
112,3,12,4.053864,0.000000,0.3068,5.924380,0.0564,0.021748,3,17.5
113,3,13,3.916822,0.000000,0.3362,5.312671,0.1103,0.021215,3,17.2
114,3,14,3.754762,0.000000,0.3966,4.865935,0.1655,0.020649,3,17.6
115,3,15,3.607942,0.000000,0.4294,4.822703,0.1859,0.020053,3,18.1
116,3,16,3.502544,4.291384,0.4645,4.236199,0.3165,0.019430,3,33.5
117,3,17,3.379090,4.177479,0.4907,3.959047,0.3897,0.018781,3,33.3
118,3,18,3.225393,4.090431,0.5400,3.779074,0.4520,0.018109,3,33.4
119,3,19,3.092455,3.984423,0.5718,3.828077,0.4065,0.017417,3,33.0
120,3,20,3.024326,3.911734,0.5989,4.947409,0.2062,0.016708,3,33.7
121,3,21,2.925358,3.839347,0.6382,3.662058,0.4604,0.015984,3,33.5
122,3,22,2.843798,3.758292,0.6556,3.878844,0.4005,0.015249,3,33.6
123,3,23,2.750566,3.687620,0.6908,3.576724,0.4808,0.014504,3,33.5
124,3,24,2.690882,3.636104,0.7076,3.943107,0.3669,0.013753,3,33.5
125,3,25,2.610498,3.569968,0.7332,3.461735,0.4964,0.013000,3,33.5
126,3,26,2.542791,3.482344,0.7467,3.261341,0.5659,0.012247,3,33.4
127,3,27,2.481055,3.438808,0.7776,3.261190,0.5576,0.011496,3,33.5
128,3,28,2.431622,3.383493,0.7846,3.227226,0.5779,0.010751,3,33.1
129,3,29,2.371921,3.343887,0.8071,3.203790,0.5899,0.010016,3,33.8
130,3,30,2.336448,3.312882,0.8221,3.167890,0.5935,0.009292,3,33.8
131,3,31,2.282428,3.257837,0.8368,2.924692,0.6511,0.008583,3,32.6
132,3,32,2.245805,3.224813,0.8474,2.976593,0.6439,0.007891,3,33.2
133,3,33,2.230137,3.196230,0.8495,2.968698,0.6535,0.007219,3,33.0
134,3,34,2.191239,3.157092,0.8678,2.914274,0.6559,0.006570,3,33.4
135,3,35,2.140449,3.147482,0.8771,2.859709,0.6643,0.005947,3,33.4
136,3,36,2.119661,3.128244,0.8843,2.904723,0.6607,0.005351,3,33.8
137,3,37,2.107891,3.107773,0.8879,2.944518,0.6571,0.004785,3,33.6
138,3,38,2.091989,3.077835,0.8933,2.760777,0.6966,0.004252,3,33.5
