global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
66,3,16,4.244264,4.872467,0.2245,4.393882,0.2542,0.007891,4,223.4
67,3,17,4.056285,4.706936,0.2722,4.425275,0.2266,0.006570,4,231.4
68,3,18,3.882458,4.574341,0.3191,4.065066,0.3201,0.005351,4,223.9
69,3,19,3.745396,4.458882,0.3729,3.935760,0.3609,0.004252,4,227.6
70,3,20,3.588035,4.336683,0.4201,3.971835,0.3537,0.003292,4,228.4
71,3,21,3.435741,4.236952,0.4642,3.756870,0.4305,0.002484,4,226.2
72,3,22,3.327686,4.173201,0.5069,3.649421,0.4676,0.001843,4,231.3
73,3,23,3.259724,4.091844,0.5322,3.616367,0.4640,0.001377,4,229.4
74,3,24,3.182229,4.070488,0.5607,3.581188,0.4808,0.001095,4,231.7
75,3,25,3.150343,4.038922,0.5694,3.533309,0.5012,0.001000,4,228.4
