epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,lr,drop_path,epoch_time_sec
75,9.829712,0.994792,0.087898,0.986811,22.196759,0.00088120,0.0000,9.48
76,9.557498,0.995089,0.167050,0.968825,18.398285,0.00087767,0.0000,9.51
77,9.570969,0.994792,0.114967,0.984412,21.451037,0.00087410,0.0000,9.44
78,9.493501,0.995685,0.070705,0.988010,22.944092,0.00087049,0.0000,9.59
79,9.221527,0.995982,0.042452,0.989209,23.639656,0.00086683,0.0000,9.02
80,9.101169,0.995536,0.052120,0.989209,23.498584,0.00086313,0.0000,9.02
81,9.154548,0.996577,0.072982,0.988010,22.583205,0.00085939,0.0000,9.05
82,8.974643,0.996726,0.081166,0.984412,23.136121,0.00085561,0.0000,9.03
83,8.969269,0.996726,0.047142,0.985612,23.781998,0.00085178,0.0000,9.01
84,8.864019,0.996131,0.053795,0.986811,23.120896,0.00084791,0.0000,8.97
85,8.783993,0.997321,0.051989,0.991607,23.534660,0.00084401,0.0000,9.07
86,8.537965,0.998363,0.064376,0.986811,23.845959,0.00084006,0.0000,9.03
87,8.477252,0.996577,0.089128,0.984412,22.703621,0.00083607,0.0000,9.00
88,8.357931,0.997470,0.056698,0.990408,23.576356,0.00083204,0.0000,9.03
89,8.379993,0.998363,0.037878,0.992806,25.170892,0.00082797,0.0000,9.00
90,8.148607,0.997917,0.055947,0.989209,25.008628,0.00082387,0.0000,9.02
91,8.118955,0.998065,0.021674,0.995204,24.551585,0.00081973,0.0000,9.00
92,8.047385,0.998214,0.035327,0.990408,24.911222,0.00081555,0.0000,8.97
93,7.878382,0.998512,0.042048,0.989209,24.850465,0.00081133,0.0000,8.99
94,7.786305,0.998512,0.064408,0.991607,23.767248,0.00080707,0.0000,8.99
95,7.722840,0.998661,0.038398,0.991607,24.250036,0.00080278,0.0000,8.93
96,7.578170,0.997917,0.028986,0.994005,24.871472,0.00079846,0.0000,9.00
97,7.661465,0.998661,0.031777,0.995204,26.404586,0.00079410,0.0000,9.10
98,7.507640,0.999107,0.034265,0.991607,24.793405,0.00078970,0.0000,9.18
99,7.636042,0.998661,0.031449,0.990408,25.013707,0.00078528,0.0000,9.04
100,7.346814,0.998512,0.045491,0.991607,25.404416,0.00078081,0.0000,8.96
101,7.264164,0.998512,0.036135,0.992806,26.356359,0.00077632,0.0000,9.01
102,7.215501,0.998958,0.063927,0.989209,25.253675,0.00077179,0.0000,9.04
103,7.047953,0.998958,0.052693,0.992806,25.474824,0.00076723,0.0000,9.00
104,6.960648,0.999554,0.043380,0.991607,25.278986,0.00076264,0.0000,8.98
105,6.909973,0.998958,0.064373,0.989209,24.132752,0.00075802,0.0000,9.00
106,6.908834,0.998363,0.048205,0.991607,26.462846,0.00075337,0.0000,8.98
107,6.834515,0.998958,0.043134,0.992806,26.303503,0.00074869,0.0000,8.99
108,6.825269,0.999405,0.047051,0.989209,26.188958,0.00074398,0.0000,9.00
109,6.788953,0.999256,0.032889,0.991607,27.303010,0.00073924,0.0000,9.03
110,6.535349,0.998958,0.037129,0.994005,26.669905,0.00073447,0.0000,8.97
111,6.549348,0.998958,0.047475,0.991607,26.411039,0.00072968,0.0000,9.04
112,6.490122,0.999405,0.019971,0.995204,27.064840,0.00072485,0.0000,9.04
113,6.286209,0.998661,0.065835,0.990408,24.190031,0.00072001,0.0000,9.02
114,6.360922,0.998661,0.034799,0.992806,26.896658,0.00071513,0.0000,9.02
115,6.299610,0.999256,0.041629,0.994005,27.276721,0.00071023,0.0000,9.04
116,6.166169,0.999554,0.038762,0.992806,26.929902,0.00070531,0.0000,9.01
117,6.037273,0.998958,0.052186,0.990408,25.838986,0.00070036,0.0000,9.05
118,6.159364,0.999851,0.026132,0.994005,27.921361,0.00069539,0.0000,8.97
119,6.018911,0.999702,0.037824,0.992806,27.571577,0.00069040,0.0000,8.99
120,6.029252,0.999405,0.046703,0.990408,27.331891,0.00068538,0.0000,8.97
121,5.957431,0.999256,0.034626,0.992806,25.338113,0.00068035,0.0000,9.02
122,5.937066,0.999702,0.023789,0.996403,27.609566,0.00067529,0.0000,9.01
123,5.707878,0.999405,0.010651,0.995204,27.783656,0.00067021,0.0000,9.00
124,5.641197,0.999702,0.029854,0.992806,28.221446,0.00066511,0.0000,9.00
125,5.733995,0.999702,0.024312,0.992806,28.295681,0.00065999,0.0000,9.01
126,5.716646,0.998958,0.025775,0.991607,27.657198,0.00065485,0.0000,8.98
127,5.526907,0.999107,0.026852,0.995204,27.351082,0.00064970,0.0000,9.01
128,5.614653,0.999851,0.018382,0.995204,28.213212,0.00064453,0.0000,9.01
129,5.545398,0.999405,0.030391,0.991607,27.031189,0.00063934,0.0000,8.95
130,5.485666,0.999554,0.008052,0.995204,29.186982,0.00063413,0.0000,8.91
131,5.310244,0.999554,0.020814,0.995204,28.966427,0.00062891,0.0000,8.97
132,5.253374,0.999405,0.012367,0.995204,28.662691,0.00062367,0.0000,9.00
133,5.118519,0.999851,0.017906,0.994005,27.353531,0.00061842,0.0000,8.97
134,5.144535,0.999851,0.017370,0.996403,28.967980,0.00061316,0.0000,9.01
135,5.225170,0.999702,0.043172,0.992806,27.356417,0.00060788,0.0000,9.04
136,5.115504,0.999851,0.029556,0.992806,28.305937,0.00060259,0.0000,9.02
137,5.065843,0.999702,0.025538,0.994005,28.919338,0.00059728,0.0000,9.02
138,4.963859,0.999702,0.046206,0.994005,27.207708,0.00059197,0.0000,8.97
139,5.035436,0.999702,0.010225,0.995204,27.919529,0.00058665,0.0000,8.96
140,4.978884,0.999702,0.018844,0.995204,28.965458,0.00058131,0.0000,8.97
141,4.971939,0.999256,0.008512,0.996403,29.477950,0.00057597,0.0000,9.05
142,4.879196,0.999554,0.017262,0.995204,28.610521,0.00057061,0.0000,9.07
143,4.891870,0.999554,0.034958,0.992806,27.001279,0.00056525,0.0000,8.99
144,4.763495,0.999702,0.009213,0.997602,29.520935,0.00055988,0.0000,9.01
145,4.768563,0.999851,0.012061,0.996403,29.597440,0.00055451,0.0000,9.01
146,4.846358,0.999851,0.005630,0.998801,29.170323,0.00054912,0.0000,9.01
147,4.641943,0.999851,0.012819,0.995204,29.470323,0.00054373,0.0000,9.04
148,4.612804,0.999851,0.020355,0.996403,29.964818,0.00053834,0.0000,9.03
149,4.565486,0.999702,0.019271,0.995204,27.610024,0.00053294,0.0000,9.00
150,4.538354,0.999851,0.009728,0.996403,29.919863,0.00052754,0.0000,9.02
151,4.510993,0.999702,0.008893,0.996403,29.177343,0.00052214,0.0000,9.01
152,4.430710,0.999851,0.012778,0.994005,29.842279,0.00051673,0.0000,8.99
153,4.327942,0.999851,0.016237,0.994005,28.871788,0.00051132,0.0000,8.98
154,4.323737,0.999851,0.019625,0.996403,29.850984,0.00050591,0.0000,8.94
155,4.247499,0.999851,0.016834,0.997602,30.056180,0.00050050,0.0000,9.06
156,4.420955,0.999702,0.014127,0.996403,29.894076,0.00049509,0.0000,8.98
157,4.194463,0.999851,0.016276,0.995204,30.201816,0.00048968,0.0000,9.00
158,4.184855,0.999851,0.012923,0.996403,30.330715,0.00048427,0.0000,9.01
159,4.207257,0.999851,0.015681,0.995204,29.041438,0.00047886,0.0000,9.02
160,4.248253,0.999851,0.028886,0.994005,30.159124,0.00047346,0.0000,9.00
161,4.104157,0.999851,0.018616,0.995204,29.999762,0.00046806,0.0000,9.01
162,4.088297,0.999851,0.012611,0.997602,29.976863,0.00046266,0.0000,9.03
163,4.039544,0.999851,0.017373,0.994005,30.417143,0.00045727,0.0000,9.01
164,4.082102,0.999851,0.014489,0.996403,30.528994,0.00045188,0.0000,9.00
165,4.059011,0.999851,0.006954,0.996403,30.500605,0.00044649,0.0000,8.98
166,3.859134,0.999851,0.017031,0.995204,30.023599,0.00044112,0.0000,9.00
167,3.875669,0.999851,0.006539,0.998801,30.737833,0.00043575,0.0000,9.02
168,3.839831,0.999851,0.017008,0.994005,29.930415,0.00043039,0.0000,9.00
169,3.836616,0.999851,0.010590,0.997602,30.877209,0.00042503,0.0000,8.98
170,3.819022,0.999851,0.007952,0.997602,30.308076,0.00041969,0.0000,8.96
171,3.751936,0.999851,0.007787,0.996403,30.351752,0.00041435,0.0000,9.06
172,3.772151,0.999851,0.014313,0.996403,30.644501,0.00040903,0.0000,9.02
173,3.690906,0.999851,0.018349,0.994005,30.632071,0.00040372,0.0000,8.97
174,3.622015,0.999702,0.006131,0.996403,31.183661,0.00039841,0.0000,9.06
175,3.643675,0.999851,0.036796,0.992806,30.485205,0.00039312,0.0000,9.04
176,3.653648,0.999702,0.018870,0.995204,31.214572,0.00038784,0.0000,8.99
177,3.552294,0.999851,0.007002,0.997602,30.031347,0.00038258,0.0000,8.99
178,3.587777,0.999851,0.012519,0.995204,30.417746,0.00037733,0.0000,8.96
179,3.567483,0.999851,0.026067,0.995204,30.277400,0.00037209,0.0000,9.02
180,3.593936,0.999851,0.011080,0.997602,31.265556,0.00036687,0.0000,8.95
181,3.459345,0.999851,0.008173,0.996403,30.804111,0.00036166,0.0000,9.10
182,3.373621,0.999851,0.008251,0.997602,31.268904,0.00035647,0.0000,9.04
183,3.390414,0.999851,0.007907,0.996403,31.393117,0.00035130,0.0000,8.99
184,3.414057,0.999851,0.010628,0.997602,31.498226,0.00034615,0.0000,8.99
185,3.353588,0.999851,0.008098,0.995204,31.360301,0.00034101,0.0000,9.01
186,3.269549,1.000000,0.011376,0.995204,31.236272,0.00033589,0.0000,9.03
187,3.284623,0.999851,0.004082,0.998801,31.837654,0.00033079,0.0000,9.00
188,3.288643,0.999851,0.005244,0.998801,31.522371,0.00032571,0.0000,8.97
189,3.296514,0.999851,0.008144,0.997602,31.754499,0.00032065,0.0000,8.95
190,3.178349,1.000000,0.004962,0.998801,31.557986,0.00031562,0.0000,9.02
191,3.290176,0.999851,0.007211,0.998801,31.224293,0.00031060,0.0000,9.15
192,3.167606,0.999851,0.003324,0.997602,32.018087,0.00030561,0.0000,8.99
193,3.092011,1.000000,0.003801,0.998801,31.913526,0.00030064,0.0000,9.00
194,3.121121,0.999851,0.004281,0.998801,31.933290,0.00029569,0.0000,8.98
195,3.060404,0.999851,0.010412,0.997602,31.729540,0.00029077,0.0000,9.02
196,3.060391,0.999851,0.003348,0.998801,31.405606,0.00028587,0.0000,8.98
197,3.075859,0.999851,0.003041,0.998801,31.432119,0.00028099,0.0000,8.97
198,3.020541,0.999851,0.005684,0.998801,31.877558,0.00027615,0.0000,8.96
199,3.050737,0.999851,0.004529,0.997602,32.081580,0.00027132,0.0000,8.94
200,3.062454,0.999851,0.012133,0.996403,31.669918,0.00026653,0.0000,8.97
201,2.965499,0.999851,0.003328,0.998801,31.955393,0.00026176,0.0000,8.96
202,3.059411,0.999851,0.009920,0.998801,31.860810,0.00025702,0.0000,8.95
203,2.902133,0.999851,0.008956,0.997602,32.101171,0.00025231,0.0000,8.96
204,2.889626,0.999851,0.004217,0.998801,32.455053,0.00024763,0.0000,9.01
205,2.951640,1.000000,0.009867,0.998801,32.101710,0.00024298,0.0000,9.23
206,2.744685,1.000000,0.012936,0.996403,32.287198,0.00023836,0.0000,9.04
207,2.819700,0.999851,0.003736,0.997602,32.488477,0.00023377,0.0000,9.04
208,2.746734,0.999851,0.002676,0.998801,32.486513,0.00022921,0.0000,9.07
209,2.826359,0.999851,0.001992,0.998801,32.511086,0.00022468,0.0000,9.05
210,2.784189,0.999851,0.002422,0.998801,32.604733,0.00022019,0.0000,9.04
211,2.733763,0.999851,0.000717,1.000000,32.543975,0.00021572,0.0000,9.07
212,2.789309,0.999702,0.006378,0.997602,32.529620,0.00021130,0.0000,9.05
213,2.729710,0.999851,0.000690,1.000000,32.683366,0.00020690,0.0000,9.01
214,2.691803,0.999851,0.002169,0.998801,32.580245,0.00020254,0.0000,9.06
215,2.619064,0.999851,0.005608,0.997602,32.775566,0.00019822,0.0000,9.08
216,2.663254,0.999851,0.003036,0.998801,32.842400,0.00019393,0.0000,9.00
217,2.662261,0.999851,0.001661,1.000000,32.737290,0.00018967,0.0000,8.97
218,2.583653,1.000000,0.001670,0.998801,32.657945,0.00018545,0.0000,9.04
219,2.573669,0.999851,0.001659,1.000000,32.860730,0.00018127,0.0000,9.02
220,2.616194,1.000000,0.001438,1.000000,32.860921,0.00017713,0.0000,8.95
221,2.616039,0.999851,0.002469,0.998801,32.835617,0.00017303,0.0000,9.07
222,2.617880,0.999851,0.003343,0.998801,32.804448,0.00016896,0.0000,9.03
223,2.531093,1.000000,0.003842,0.997602,32.975162,0.00016493,0.0000,8.97
224,2.578627,0.999851,0.001392,1.000000,33.074729,0.00016094,0.0000,8.96
225,2.433257,0.999851,0.001317,1.000000,33.046337,0.00015699,0.0000,8.99
226,2.505668,1.000000,0.000896,1.000000,33.055900,0.00015309,0.0000,8.94
227,2.461759,1.000000,0.002473,0.998801,32.938581,0.00014922,0.0000,9.01
228,2.479840,0.999851,0.002075,0.998801,33.195560,0.00014539,0.0000,9.03
229,2.410401,1.000000,0.002703,0.998801,33.087760,0.00014161,0.0000,9.03
230,2.414395,1.000000,0.002298,0.998801,33.104375,0.00013787,0.0000,8.99
231,2.441105,1.000000,0.001594,0.998801,33.187769,0.00013417,0.0000,9.09
232,2.469797,1.000000,0.002586,0.998801,33.257798,0.00013051,0.0000,8.99
233,2.409220,0.999851,0.003879,0.998801,33.294483,0.00012690,0.0000,8.95
234,2.414100,0.999851,0.001889,0.998801,33.222730,0.00012333,0.0000,9.00
235,2.358970,1.000000,0.001517,0.998801,33.401128,0.00011980,0.0000,9.04
236,2.290471,0.999851,0.001559,1.000000,33.231833,0.00011632,0.0000,8.98
237,2.371380,1.000000,0.002813,0.998801,33.270943,0.00011288,0.0000,9.01
238,2.210558,1.000000,0.001475,0.998801,33.284145,0.00010949,0.0000,8.98
239,2.322142,1.000000,0.001042,1.000000,33.423518,0.00010615,0.0000,8.98
240,2.297920,1.000000,0.001457,1.000000,33.253129,0.00010285,0.0000,8.99
241,2.248158,0.999851,0.003197,0.998801,33.461621,0.00009960,0.0000,9.06
242,2.290825,0.999851,0.004019,0.998801,33.386955,0.00009640,0.0000,8.99
243,2.253307,1.000000,0.003720,0.998801,33.460583,0.00009324,0.0000,9.04
244,2.246764,1.000000,0.004105,0.998801,33.380632,0.00009013,0.0000,8.97
245,2.324363,1.000000,0.003675,0.998801,33.545688,0.00008707,0.0000,9.01
246,2.183116,1.000000,0.003320,0.997602,33.566539,0.00008406,0.0000,9.03
247,2.181379,1.000000,0.002085,0.998801,33.588761,0.00008109,0.0000,8.99
248,2.221765,0.999851,0.001770,0.998801,33.599004,0.00007818,0.0000,8.97
249,2.206088,1.000000,0.001143,0.998801,33.611305,0.00007531,0.0000,8.97
250,2.137118,0.999851,0.001386,1.000000,33.595720,0.00007250,0.0000,8.94
251,2.166471,0.999851,0.001596,1.000000,33.570099,0.00006974,0.0000,9.07
252,2.096701,0.999851,0.004254,0.997602,33.704767,0.00006702,0.0000,9.32
253,2.143230,1.000000,0.002997,0.998801,33.516400,0.00006436,0.0000,9.00
254,2.119030,1.000000,0.002116,0.998801,33.703605,0.00006175,0.0000,9.00
255,2.184278,1.000000,0.000846,1.000000,33.749084,0.00005919,0.0000,8.93
256,2.101524,0.999851,0.001274,1.000000,33.679021,0.00005668,0.0000,8.96
257,2.094821,0.999851,0.002450,0.998801,33.694151,0.00005422,0.0000,8.99
258,2.151719,1.000000,0.001743,1.000000,33.741939,0.00005182,0.0000,9.06
259,2.107823,0.999851,0.002580,0.998801,33.717169,0.00004946,0.0000,9.02
260,2.094489,1.000000,0.003322,0.998801,33.783641,0.00004717,0.0000,8.98
261,2.039769,1.000000,0.001160,1.000000,33.731718,0.00004492,0.0000,9.01
262,2.018511,0.999851,0.001996,0.998801,33.844294,0.00004273,0.0000,9.00
263,2.107173,0.999851,0.003907,0.998801,33.734434,0.00004059,0.0000,8.88
264,2.032162,1.000000,0.002653,0.998801,33.838164,0.00003851,0.0000,8.94
265,2.069371,1.000000,0.002664,0.998801,33.808331,0.00003648,0.0000,9.05
266,2.057920,1.000000,0.001826,0.998801,33.849009,0.00003450,0.0000,9.12
267,2.061028,1.000000,0.002254,0.998801,33.791323,0.00003258,0.0000,8.97
268,1.981555,1.000000,0.000764,1.000000,33.848484,0.00003071,0.0000,9.00
269,1.998208,0.999851,0.002095,0.998801,33.839552,0.00002890,0.0000,9.25
270,2.019417,1.000000,0.000942,1.000000,33.874009,0.00002715,0.0000,9.08
271,1.943516,1.000000,0.001631,1.000000,33.846262,0.00002545,0.0000,9.04
272,1.992418,1.000000,0.002113,0.998801,33.860186,0.00002380,0.0000,9.00
273,2.001940,1.000000,0.001388,0.998801,33.886459,0.00002221,0.0000,8.97
274,1.971549,1.000000,0.002741,0.998801,33.870454,0.00002068,0.0000,8.98
275,1.953929,1.000000,0.001021,1.000000,33.889219,0.00001921,0.0000,9.01
276,1.940144,0.999851,0.001397,1.000000,33.879368,0.00001779,0.0000,9.00
