epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_acc,val_loss,val_acc,lr,time_s
51,0.081653,0.063453,0.068962,0.013792,0.0,0.0,1.0,0.155541,0.9844,8e-08,21.9
52,0.081535,0.063071,0.068921,0.013784,0.0,0.0,1.0,0.154916,0.9844,8e-08,21.6
53,0.082028,0.063693,0.069289,0.013858,0.0,0.0,1.0,0.154378,0.9844,7e-08,21.8
54,0.082308,0.064116,0.069485,0.013897,0.0,0.0,1.0,0.153838,0.9844,7e-08,22.1
55,0.081636,0.062091,0.069218,0.013844,0.0,0.0,1.0,0.153316,0.9844,7e-08,21.8
56,0.08117,0.06055,0.06906,0.013812,0.0,0.0,1.0,0.152812,0.9844,6e-08,22.1
57,0.081313,0.063055,0.068702,0.01374,0.0,0.0,1.0,0.152317,0.9844,6e-08,21.9
58,0.081269,0.061983,0.068872,0.013774,0.0,0.0,1.0,0.151841,0.9844,6e-08,21.5
59,0.081404,0.061101,0.069184,0.013837,0.0,0.0,1.0,0.151379,0.9844,5e-08,21.8
60,0.081152,0.060269,0.069098,0.01382,0.0,0.0,1.0,0.150938,0.9844,5e-08,21.7
61,0.081102,0.060565,0.068989,0.013798,0.0,0.0,0.9998,0.150552,0.9844,5e-08,21.7
62,0.08119,0.060251,0.06914,0.013828,0.0,0.0,1.0,0.150236,0.9844,4e-08,21.9
63,0.080854,0.059886,0.068877,0.013775,0.0,0.0,1.0,0.149943,0.9844,4e-08,21.7
64,0.080871,0.060842,0.068703,0.013741,0.0,0.0,1.0,0.149644,0.9844,4e-08,22.3
65,0.080851,0.060851,0.068681,0.013736,0.0,0.0,1.0,0.149353,0.9844,4e-08,22.0
66,0.080831,0.058397,0.069152,0.01383,0.0,0.0,1.0,0.149118,0.9844,4e-08,22.0
67,0.080603,0.060719,0.06846,0.013692,0.0,0.0,1.0,0.148841,0.9844,3e-08,22.1
68,0.081252,0.060281,0.069196,0.013839,0.0,0.0,1.0,0.148549,0.9844,3e-08,21.8
69,0.080645,0.059807,0.068684,0.013737,0.0,0.0,1.0,0.148311,0.9844,3e-08,22.4
70,0.081305,0.059938,0.069317,0.013863,0.0,0.0,1.0,0.148045,0.9844,3e-08,21.1
71,0.080375,0.058293,0.068716,0.013743,0.0,0.0,1.0,0.147844,0.9844,3e-08,20.4
72,0.080705,0.058118,0.069081,0.013816,0.0,0.0,1.0,0.147635,0.9844,3e-08,20.2
73,0.081183,0.059923,0.069199,0.01384,0.0,0.0,1.0,0.147464,0.9844,2e-08,20.6
74,0.080436,0.058752,0.068685,0.013737,0.0,0.0,1.0,0.14729,0.9844,2e-08,20.0
75,0.080782,0.058802,0.069022,0.013804,0.0,0.0,1.0,0.147127,0.9844,2e-08,19.8
76,0.080115,0.057128,0.06869,0.013738,0.0,0.0,0.9998,0.14698,0.9844,2e-08,20.0
77,0.080547,0.057549,0.069037,0.013807,0.0,0.0,1.0,0.146841,0.9844,2e-08,20.1
78,0.080723,0.058788,0.068966,0.013793,0.0,0.0,1.0,0.146696,0.9844,2e-08,20.0
79,0.079864,0.056993,0.068465,0.013693,0.0,0.0,1.0,0.146542,0.9844,2e-08,20.1
80,0.080572,0.057396,0.069093,0.013819,0.0,0.0,1.0,0.146413,0.9844,2e-08,20.1
