global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
66,3,16,5.361464,5.818613,0.0469,5.521229,0.0528,0.007891,4,187.7
67,3,17,5.239551,5.747506,0.0586,5.433548,0.0647,0.006570,4,181.2
68,3,18,5.104973,5.645821,0.0763,5.247053,0.0851,0.005351,4,186.4
69,3,19,4.967497,5.535094,0.0913,5.166390,0.0983,0.004252,4,188.8
70,3,20,4.859467,5.461555,0.1142,5.081521,0.1199,0.003292,4,187.1
71,3,21,4.737392,5.394336,0.1517,4.944957,0.1475,0.002484,4,183.5
72,3,22,4.641796,5.295991,0.1725,4.907493,0.1355,0.001843,4,185.1
73,3,23,4.537884,5.252176,0.1971,4.780307,0.1655,0.001377,4,189.0
74,3,24,4.472009,5.203284,0.2145,4.758369,0.1715,0.001095,4,178.2
75,3,25,4.393881,5.168989,0.2302,4.678568,0.1918,0.001000,4,180.9
