epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
32,0.800679,0.560549,1.040809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.522622,0.9772,9.277e-05,25.0
33,0.797826,0.556384,1.039267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.515359,0.9784,9.224e-05,25.7
34,0.797049,0.557143,1.036954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.522799,0.976,9.169e-05,24.6
35,0.793402,0.550361,1.036443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.536963,0.9772,9.113e-05,24.8
36,0.790974,0.547513,1.034434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.547949,0.9736,9.055e-05,24.3
37,0.79035,0.550722,1.029978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.513562,0.976,8.995e-05,24.5
38,0.788153,0.546598,1.029707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.53601,0.9772,8.933e-05,25.3
39,0.790449,0.553391,1.027507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.516577,0.9772,8.87e-05,25.3
40,0.787893,0.548355,1.02743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.515142,0.976,8.806e-05,24.9
41,0.790042,0.553038,1.027046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.505473,0.976,8.74e-05,24.9
42,0.787883,0.549722,1.026045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.535278,0.9736,8.672e-05,25.3
43,0.79115,0.558085,1.024214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.504196,0.9748,8.603e-05,25.3
44,0.784815,0.544846,1.024784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.50892,0.9784,8.532e-05,24.6
45,0.785312,0.550178,1.020445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.526563,0.9796,8.46e-05,25.8
46,0.783645,0.545105,1.022184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.493203,0.976,8.387e-05,25.3
47,0.783857,0.547259,1.020455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.491985,0.9772,8.312e-05,24.6
48,0.786556,0.552461,1.020651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.507135,0.9748,8.236e-05,25.1
49,0.783461,0.547993,1.01893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.501939,0.9748,8.159e-05,25.0
50,0.780789,0.545347,1.01623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.500647,0.9796,8.08e-05,24.5
51,0.78112,0.544634,1.017607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.530375,0.9736,8e-05,25.1
52,0.781954,0.548832,1.015076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.499784,0.9772,7.919e-05,24.5
53,0.784563,0.557278,1.011848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.488155,0.982,7.836e-05,25.3
54,0.779365,0.544852,1.013879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.480033,0.9784,7.753e-05,24.9
55,0.779654,0.543684,1.015624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.552073,0.9736,7.668e-05,23.8
56,0.779351,0.548286,1.010415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.494259,0.982,7.583e-05,25.0
57,0.780708,0.54974,1.011675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.481068,0.9784,7.496e-05,24.4
58,0.779106,0.546552,1.011659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.492506,0.976,7.408e-05,24.8
59,0.782156,0.55704,1.007273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.491658,0.9784,7.32e-05,25.5
60,0.779547,0.55075,1.008344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.486569,0.9808,7.23e-05,24.0
61,0.781362,0.553503,1.00922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.493484,0.976,7.139e-05,23.7
62,0.778047,0.546653,1.009442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.507674,0.9784,7.048e-05,24.9
63,0.777617,0.55099,1.004244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.490834,0.976,6.956e-05,25.0
64,0.777963,0.550957,1.00497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.50457,0.976,6.863e-05,24.7
65,0.780232,0.553969,1.006494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.488322,0.9796,6.769e-05,24.1
66,0.778924,0.552622,1.005226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.479439,0.9772,6.675e-05,25.0
67,0.780103,0.552623,1.007582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973,0.485072,0.9784,6.58e-05,25.2
68,0.779251,0.55556,1.002942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.472916,0.9796,6.484e-05,25.4
69,0.777469,0.546869,1.008069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9992,0.486248,0.9772,6.388e-05,24.7
70,0.778688,0.553902,1.003473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.504702,0.9748,6.291e-05,24.7
71,0.77612,0.547536,1.004703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.484944,0.9796,6.193e-05,25.1
72,0.777979,0.55325,1.002709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973,0.473413,0.9748,6.096e-05,24.8
73,0.773132,0.540207,1.006056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991,0.472289,0.9796,5.997e-05,23.3
74,0.778195,0.555605,1.000784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.47251,0.982,5.899e-05,23.8
75,0.776946,0.54831,1.005581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.48062,0.9772,5.8e-05,24.1
76,0.776508,0.551167,1.00185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.471082,0.9784,5.7e-05,24.7
77,0.774694,0.547168,1.00222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.478478,0.9796,5.601e-05,24.9
78,0.774732,0.545727,1.003736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973,0.475591,0.9796,5.501e-05,24.5
79,0.778836,0.560082,0.99759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.468656,0.9808,5.401e-05,24.7
80,0.775965,0.549058,1.002872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.474026,0.9784,5.301e-05,24.9
81,0.777966,0.556588,0.999343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.472257,0.9808,5.2e-05,25.2
82,0.775115,0.553088,0.997143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.462424,0.9772,5.1e-05,24.6
83,0.775278,0.552114,0.998442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.463906,0.9772,5e-05,24.1
84,0.778757,0.559123,0.998391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.463571,0.9784,4.9e-05,24.4
85,0.778822,0.557767,0.999878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.465154,0.9784,4.799e-05,25.2
86,0.77673,0.554524,0.998935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.469412,0.9784,4.699e-05,25.2
87,0.775424,0.550485,1.000364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968,0.467617,0.9748,4.599e-05,24.7
88,0.778465,0.557726,0.999205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.472141,0.9796,4.499e-05,25.1
89,0.778144,0.560047,0.996242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.45832,0.9796,4.4e-05,23.9
90,0.775929,0.55417,0.997688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.467376,0.9748,4.3e-05,25.0
91,0.780063,0.563184,0.996942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.456986,0.9784,4.201e-05,24.2
92,0.773134,0.544949,1.001319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.4606,0.9796,4.103e-05,24.4
93,0.776037,0.557638,0.994436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.459331,0.9772,4.004e-05,23.6
94,0.777337,0.557401,0.997272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.46216,0.9772,3.907e-05,24.4
95,0.779071,0.56052,0.997621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.461367,0.9772,3.809e-05,24.6
96,0.781131,0.564456,0.997806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968,0.454414,0.9784,3.712e-05,25.0
97,0.777276,0.554735,0.999818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968,0.455026,0.9784,3.616e-05,25.4
98,0.777012,0.55771,0.996314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.457962,0.9808,3.52e-05,24.5
99,0.781796,0.569604,0.993989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.460542,0.9772,3.425e-05,25.7
100,0.778662,0.560264,0.997059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.454757,0.976,3.331e-05,25.1
101,0.782341,0.568251,0.996431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.453438,0.9784,3.237e-05,24.4
102,0.778911,0.557624,1.000199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.454927,0.9772,3.144e-05,23.9
103,0.781798,0.563309,1.000287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9965,0.459561,0.976,3.052e-05,23.9
104,0.779892,0.563604,0.99618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.45739,0.9784,2.961e-05,23.8
105,0.781037,0.566452,0.995622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962,0.462668,0.9796,2.87e-05,23.7
106,0.78255,0.567723,0.997378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.456991,0.9796,2.78e-05,24.8
107,0.781142,0.564698,0.997586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.457384,0.9784,2.692e-05,25.0
108,0.784003,0.570073,0.997934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.450239,0.982,2.604e-05,24.7
109,0.783997,0.57033,0.997664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.453547,0.9808,2.517e-05,24.5
110,0.783827,0.568874,0.998779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.458621,0.9796,2.432e-05,24.4
111,0.782238,0.565368,0.999107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.454112,0.9784,2.347e-05,22.7
112,0.782879,0.56563,1.000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.459879,0.9796,2.264e-05,24.2
113,0.783678,0.568591,0.998765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.450806,0.9772,2.181e-05,24.7
114,0.785783,0.573659,0.997908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.4532,0.9796,2.1e-05,25.4
115,0.787117,0.576112,0.998121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973,0.445675,0.9808,2.02e-05,23.2
116,0.78283,0.569087,0.996574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.453107,0.9796,1.941e-05,25.3
117,0.785899,0.571753,1.000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.449961,0.9808,1.864e-05,24.6
118,0.781997,0.568668,0.995327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.449201,0.9784,1.788e-05,24.2
119,0.780142,0.557189,1.003095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.457135,0.9784,1.713e-05,24.4
120,0.790862,0.584892,0.996832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968,0.450239,0.9796,1.64e-05,24.4
121,0.7891,0.579996,0.998204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9968,0.448933,0.9796,1.568e-05,25.2
122,0.788683,0.580221,0.997145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.456018,0.9784,1.497e-05,23.9
123,0.788208,0.577617,0.9988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.452198,0.9796,1.428e-05,24.1
124,0.785845,0.56931,1.002381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.448096,0.9796,1.36e-05,24.3
125,0.786567,0.573296,0.999839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974,0.447108,0.9796,1.294e-05,23.8
126,0.787489,0.571204,1.003774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964,0.452195,0.9796,1.23e-05,23.8
127,0.792829,0.586042,0.999616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973,0.446529,0.982,1.167e-05,24.7
