epoch,train_loss,train_acc,val_loss,val_acc,lr,drop_path,epoch_time_sec
1,9.436510,0.001502,6.732378,0.002398,0.00010900,0.0007,23.75
2,9.433041,0.001803,6.731018,0.000000,0.00020800,0.0013,23.16
3,9.428319,0.001502,6.730004,0.002398,0.00030700,0.0020,22.94
4,9.427727,0.001803,6.729021,0.001199,0.00040600,0.0027,23.21
5,9.424920,0.001953,6.724360,0.001199,0.00050500,0.0033,23.36
6,9.417588,0.002254,6.715640,0.002398,0.00060400,0.0040,22.69
7,9.385627,0.002103,6.655176,0.002398,0.00070300,0.0047,16.02
8,9.320952,0.003606,6.548144,0.007194,0.00080200,0.0053,15.83
9,9.174531,0.007812,6.336348,0.011990,0.00090100,0.0060,16.43
10,8.976529,0.008113,6.428386,0.016787,0.00100000,0.0067,16.38
11,8.785186,0.012620,6.219687,0.019185,0.00099997,0.0073,15.65
12,8.592065,0.017578,6.177452,0.019185,0.00099988,0.0080,15.73
13,8.432441,0.024940,6.040774,0.037170,0.00099974,0.0087,15.61
14,8.241398,0.035607,5.902798,0.046763,0.00099953,0.0093,15.95
15,8.075644,0.046124,5.971173,0.035971,0.00099927,0.0100,16.41
16,7.895714,0.060547,5.717139,0.065947,0.00099895,0.0107,15.70
17,7.734516,0.075571,5.421478,0.127098,0.00099856,0.0113,15.68
18,7.620709,0.084886,5.312135,0.160671,0.00099813,0.0120,15.54
19,7.491393,0.113732,5.413521,0.123501,0.00099763,0.0127,15.70
20,7.418435,0.126803,6.069915,0.040767,0.00099707,0.0133,16.46
21,7.308192,0.129657,6.109015,0.038369,0.00099646,0.0140,16.02
22,7.248176,0.146785,4.982527,0.281775,0.00099579,0.0147,15.68
23,7.158009,0.161358,5.111869,0.183453,0.00099505,0.0153,15.86
24,7.078512,0.183594,4.895900,0.267386,0.00099427,0.0160,15.83
25,7.006364,0.192007,4.807924,0.332134,0.00099342,0.0167,16.11
26,6.919220,0.213942,5.620143,0.104317,0.00099252,0.0173,16.44
27,6.850468,0.228816,4.669217,0.371703,0.00099155,0.0180,15.63
28,6.778561,0.238431,4.751496,0.309353,0.00099053,0.0187,15.63
29,6.736823,0.250751,4.777017,0.287770,0.00098946,0.0193,15.67
30,6.644022,0.268179,4.514121,0.435252,0.00098832,0.0200,15.88
31,6.592970,0.279748,4.571261,0.342926,0.00098713,0.0207,23.50
32,6.539056,0.290264,5.135955,0.176259,0.00098588,0.0213,22.66
33,6.448594,0.315054,4.452132,0.395683,0.00098458,0.0220,23.33
34,6.380025,0.329778,5.247657,0.148681,0.00098321,0.0227,20.35
35,6.303729,0.340895,4.379262,0.438849,0.00098179,0.0233,15.69
36,6.270537,0.350361,4.533753,0.371703,0.00098032,0.0240,14.90
37,6.205521,0.371995,4.328746,0.467626,0.00097879,0.0247,15.47
38,6.148341,0.390325,5.073572,0.195444,0.00097720,0.0253,14.91
39,6.118684,0.389273,4.319017,0.422062,0.00097555,0.0260,15.47
40,6.036434,0.426983,4.554147,0.329736,0.00097385,0.0267,14.76
41,5.992188,0.423978,4.175759,0.500000,0.00097210,0.0273,15.50
42,5.928570,0.439303,3.963171,0.591127,0.00097029,0.0280,15.22
43,5.888636,0.446064,3.918159,0.612710,0.00096842,0.0287,14.97
44,5.822499,0.470553,4.108351,0.514388,0.00096650,0.0293,15.71
45,5.809806,0.470102,4.772876,0.260192,0.00096452,0.0300,14.94
46,5.752852,0.482873,4.143702,0.479616,0.00096249,0.0307,15.47
47,5.724872,0.499249,4.619437,0.290168,0.00096041,0.0313,14.99
48,5.694035,0.503606,4.046250,0.511990,0.00095827,0.0320,15.72
49,5.640022,0.513071,3.793182,0.641487,0.00095608,0.0327,15.11
50,5.622259,0.515325,3.821391,0.627098,0.00095383,0.0333,15.53
51,5.586705,0.518329,4.140594,0.485612,0.00095154,0.0340,14.93
52,5.571356,0.524790,4.089937,0.519185,0.00094918,0.0347,15.55
53,5.526266,0.538912,4.709974,0.255396,0.00094678,0.0353,14.93
54,5.494038,0.549279,3.698267,0.671463,0.00094432,0.0360,15.20
55,5.474180,0.549730,3.830129,0.582734,0.00094181,0.0367,15.55
56,5.436426,0.557091,3.575789,0.714628,0.00093925,0.0373,14.85
57,5.429941,0.565355,3.606111,0.679856,0.00093664,0.0380,15.46
58,5.399139,0.563552,3.864234,0.583933,0.00093398,0.0387,14.84
59,5.369366,0.574369,3.931438,0.571942,0.00093126,0.0393,15.51
60,5.343232,0.587139,3.712071,0.641487,0.00092850,0.0400,14.94
61,5.322769,0.591797,3.580680,0.696643,0.00092569,0.0407,15.67
62,5.305017,0.597656,3.574433,0.693046,0.00092282,0.0413,14.64
