epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
26,15.337534,3.718928,11.618606,23.074928,0.065538,0.81142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6263,2.521752,0.4964,0.00099252,32.0,-0.155154
27,15.140035,3.636505,11.50353,22.845912,0.064502,0.805743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659,1.779463,0.7578,0.00099155,32.1,0.807618
28,14.956648,3.565421,11.391227,22.622305,0.063866,0.800744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978,1.919283,0.7338,0.00099053,32.3,0.815838
29,14.712706,3.461955,11.250752,22.342601,0.063668,0.794509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7376,1.46107,0.8321,0.00098946,32.0,1.177806
30,14.532652,3.409725,11.122927,22.088029,0.063339,0.789122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516,1.779529,0.6799,0.00098832,32.5,0.675917
31,14.357995,3.340863,11.017132,21.877331,0.061217,0.784669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7763,1.701323,0.7386,0.00098713,32.3,0.884158
32,14.186224,3.281214,10.90501,21.654057,0.060191,0.779809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7976,1.91686,0.6679,0.00098588,32.5,0.598507
33,13.895514,3.180256,10.715258,21.275945,0.059349,0.772855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8454,1.34216,0.8537,0.00098458,32.5,1.445461
34,13.782804,3.151977,10.630827,21.10775,0.058935,0.769518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449,1.531053,0.771,0.00098321,32.3,1.081125
35,13.497382,3.066115,10.431267,20.71007,0.058522,0.762315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8702,1.059476,0.8873,0.00098179,32.2,1.790863
36,13.383308,3.036333,10.346975,20.542365,0.057022,0.757925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8795,1.009949,0.9101,0.00098032,32.3,1.9523
37,13.21399,2.990211,10.223779,20.296965,0.057263,0.752962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892,0.977302,0.9257,0.00097879,32.0,2.063567
38,12.980911,2.930255,10.050656,19.951924,0.055975,0.746939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9125,1.13438,0.8645,0.0009772,32.2,1.661214
39,12.850184,2.906849,9.943336,19.738095,0.055383,0.74288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9152,0.925095,0.9305,0.00097555,32.3,2.185582
40,12.727084,2.882707,9.844377,19.540991,0.054946,0.738819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924,0.967739,0.9161,0.00097385,32.2,1.971609
41,12.540552,2.849628,9.690924,19.235199,0.055024,0.733241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9315,1.028414,0.8921,0.0009721,32.0,1.694734
42,12.333024,2.803758,9.529267,18.912869,0.054461,0.728322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9406,0.751913,0.9424,0.00097029,32.3,2.414842
43,12.213518,2.788987,9.424531,18.704215,0.053901,0.724232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9432,0.686538,0.9544,0.00096842,31.9,2.674423
44,12.015308,2.746365,9.268943,18.394142,0.053502,0.718719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9522,0.821506,0.9412,0.0009665,32.1,2.291917
45,11.892345,2.726329,9.166016,18.188988,0.053337,0.715224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588,0.727373,0.9604,0.00096452,32.4,2.627803
46,11.765016,2.710218,9.054798,17.967411,0.051904,0.710926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9588,0.796991,0.9436,0.00096249,32.2,2.409756
47,11.639826,2.688189,8.951637,17.761803,0.051948,0.707353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638,0.65901,0.952,0.00096041,32.3,2.782485
48,11.533609,2.684928,8.848681,17.556628,0.052722,0.703668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677,0.947625,0.9149,0.00095827,32.2,2.205313
49,11.329749,2.645912,8.683837,17.227874,0.051955,0.699001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9668,0.844451,0.9436,0.00095608,32.4,2.370078
50,11.217096,2.63549,8.581605,17.024144,0.051622,0.695334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9734,0.720002,0.964,0.00095383,32.3,2.796756
