epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
60,11.680114,0.997917,0.115630,0.973621,21.148072,0.212147,0.994643,0.00092850,0.0000,35.88
61,11.362660,0.997619,0.116649,0.977218,21.297085,0.205254,0.993006,0.00092569,0.0000,35.93
62,11.221309,0.998661,0.095436,0.979616,22.432194,0.191221,0.995982,0.00092282,0.0000,35.07
63,10.991376,0.998512,0.094550,0.982014,22.509897,0.184853,0.996726,0.00091991,0.0000,34.82
64,10.933667,0.998810,0.097276,0.977218,21.326967,0.187615,0.995536,0.00091694,0.0000,35.67
65,10.800900,0.998661,0.081279,0.983213,21.918023,0.173471,0.995982,0.00091393,0.0000,35.57
66,10.560618,0.998661,0.039058,0.989209,23.287624,0.175433,0.995833,0.00091087,0.0000,34.72
67,10.570941,0.998512,0.072866,0.985612,22.485102,0.170619,0.997768,0.00090776,0.0000,34.38
68,10.395966,0.998661,0.078691,0.983213,22.165334,0.168008,0.996429,0.00090460,0.0000,35.28
69,10.225160,0.998363,0.053985,0.983213,23.218660,0.160741,0.998065,0.00090140,0.0000,34.70
70,10.061383,0.998810,0.065901,0.984412,23.643549,0.156565,0.996577,0.00089815,0.0000,35.48
71,10.076671,0.999405,0.055118,0.988010,23.568517,0.159576,0.998065,0.00089485,0.0000,35.81
72,9.883251,0.998661,0.066251,0.986811,22.905539,0.147861,0.997470,0.00089151,0.0000,35.25
73,9.776012,0.999107,0.059363,0.982014,22.768958,0.143289,0.997470,0.00088812,0.0000,35.27
74,9.613200,0.999405,0.071561,0.985612,23.551209,0.143696,0.997768,0.00088468,0.0000,35.41
75,9.667087,0.999405,0.059580,0.989209,22.690888,0.139280,0.997917,0.00088120,0.0000,35.04
76,9.454194,0.998958,0.055357,0.984412,24.107862,0.136348,0.998065,0.00087767,0.0000,35.91
77,9.284355,0.999256,0.065093,0.985612,23.031425,0.135631,0.998512,0.00087410,0.0000,35.50
78,9.146298,0.999256,0.037058,0.992806,25.134122,0.137678,0.998512,0.00087049,0.0000,35.86
79,9.009951,0.999256,0.045179,0.985612,24.489011,0.120297,0.998958,0.00086683,0.0000,35.52
80,8.910014,0.999107,0.032246,0.990408,24.378808,0.125857,0.998810,0.00086313,0.0000,35.34
81,8.964772,0.999256,0.058155,0.988010,24.719967,0.119339,0.999256,0.00085939,0.0000,35.25
82,8.802434,0.999405,0.029554,0.992806,25.117389,0.123739,0.998810,0.00085561,0.0000,35.46
83,8.743142,0.999554,0.043627,0.989209,24.936476,0.116857,0.999107,0.00085178,0.0000,36.64
84,8.568601,0.999554,0.057651,0.983213,25.071502,0.108492,0.998958,0.00084791,0.0000,36.00
85,8.532736,0.999554,0.041268,0.991607,25.263974,0.115121,0.998214,0.00084401,0.0000,34.21
86,8.467023,0.999554,0.022845,0.994005,25.227916,0.107893,1.000000,0.00084006,0.0000,33.41
87,8.358947,0.999554,0.009899,0.996403,25.099864,0.105041,0.998958,0.00083607,0.0000,35.57
88,8.299287,0.999702,0.027201,0.992806,25.050991,0.103479,0.999554,0.00083204,0.0000,34.08
89,8.038399,0.999702,0.031375,0.988010,25.963652,0.098585,0.999851,0.00082797,0.0000,34.88
90,8.040905,0.999702,0.014024,0.996403,25.931872,0.101392,0.999107,0.00082387,0.0000,34.46
91,7.973965,0.999702,0.017256,0.992806,25.818338,0.099158,0.999405,0.00081973,0.0000,34.63
92,7.958770,0.999554,0.031198,0.992806,26.608664,0.102746,0.998958,0.00081555,0.0000,35.55
93,7.815269,0.999702,0.024050,0.994005,25.642979,0.092204,0.999107,0.00081133,0.0000,35.52
94,7.762996,0.999405,0.030107,0.990408,26.397525,0.092614,0.998958,0.00080707,0.0000,34.11
95,7.610893,0.999702,0.019774,0.992806,26.070603,0.096043,0.998958,0.00080278,0.0000,35.20
96,7.625001,0.999702,0.026865,0.994005,26.790528,0.090474,0.999107,0.00079846,0.0000,35.18
97,7.414058,0.999702,0.022015,0.994005,26.365819,0.087771,0.999405,0.00079410,0.0000,34.15
98,7.377660,0.999702,0.016318,0.994005,27.226114,0.081049,0.999702,0.00078970,0.0000,35.20
99,7.288354,0.999702,0.020008,0.991607,26.702020,0.084957,0.999554,0.00078528,0.0000,35.04
100,7.353569,0.999702,0.033515,0.990408,26.453610,0.087157,0.999554,0.00078081,0.0000,35.23
101,7.068632,0.999702,0.020282,0.992806,26.944065,0.075287,0.999702,0.00077632,0.0000,36.00
102,7.134323,0.999554,0.013556,0.996403,26.760443,0.079090,0.999702,0.00077179,0.0000,35.19
103,7.020331,0.999554,0.013792,0.994005,27.576471,0.081543,0.999702,0.00076723,0.0000,35.20
104,6.976219,0.999702,0.007499,0.998801,26.993211,0.076663,0.999554,0.00076264,0.0000,35.45
105,6.974174,0.999554,0.008218,0.997602,27.411436,0.074766,0.999554,0.00075802,0.0000,35.72
106,6.966903,0.999702,0.010157,0.996403,27.538843,0.074799,0.999851,0.00075337,0.0000,34.35
107,6.824460,0.999702,0.014437,0.994005,26.888133,0.073662,0.999702,0.00074869,0.0000,34.16
108,6.788262,0.999702,0.011418,0.996403,27.659350,0.066990,0.999851,0.00074398,0.0000,33.59
109,6.768878,0.999702,0.025539,0.994005,27.608780,0.073702,0.999851,0.00073924,0.0000,34.44
110,6.675553,0.999702,0.019832,0.995204,27.493306,0.067435,0.999554,0.00073447,0.0000,34.78
111,6.537541,0.999702,0.011692,0.994005,27.277798,0.066469,0.999554,0.00072968,0.0000,35.71
112,6.490301,0.999702,0.007426,0.996403,27.882206,0.065859,1.000000,0.00072485,0.0000,35.22
113,6.468327,0.999702,0.011248,0.996403,27.318767,0.064132,0.999851,0.00072001,0.0000,34.97
114,6.531998,0.999851,0.012808,0.995204,28.232155,0.067296,0.999554,0.00071513,0.0000,33.55
115,6.410501,0.999702,0.018123,0.994005,27.975075,0.061690,0.999851,0.00071023,0.0000,35.41
116,6.228365,0.999702,0.014692,0.996403,27.589279,0.061434,0.999851,0.00070531,0.0000,35.63
117,6.205545,0.999851,0.005117,0.997602,27.986773,0.058868,1.000000,0.00070036,0.0000,34.19
118,6.137649,0.999851,0.005204,0.998801,28.339488,0.054605,1.000000,0.00069539,0.0000,35.70
119,6.130218,0.999702,0.002731,0.998801,27.914738,0.060523,0.999851,0.00069040,0.0000,34.90
120,6.037469,0.999851,0.004401,0.998801,28.571264,0.052524,0.999851,0.00068538,0.0000,35.92
121,6.013520,0.999851,0.007425,0.998801,28.165282,0.053691,0.999851,0.00068035,0.0000,35.49
122,5.916470,0.999702,0.011666,0.996403,28.800285,0.056426,0.999554,0.00067529,0.0000,34.88
123,5.847598,0.999851,0.034098,0.995204,27.271062,0.052007,1.000000,0.00067021,0.0000,34.72
124,5.811490,0.999851,0.011071,0.997602,28.788953,0.049339,0.999851,0.00066511,0.0000,35.07
125,5.781142,0.999702,0.012581,0.997602,28.859156,0.051339,0.999851,0.00065999,0.0000,35.56
126,5.722336,0.999554,0.013811,0.997602,28.983730,0.048278,0.999851,0.00065485,0.0000,35.24
127,5.667849,0.999702,0.011566,0.997602,29.046746,0.049167,0.999851,0.00064970,0.0000,35.24
128,5.692660,0.999851,0.000747,1.000000,28.961031,0.049897,1.000000,0.00064453,0.0000,33.97
129,5.509319,0.999702,0.008658,0.996403,28.966693,0.047224,0.999702,0.00063934,0.0000,35.98
130,5.503701,0.999851,0.008317,0.998801,29.356350,0.049276,0.999702,0.00063413,0.0000,35.84
131,5.515546,0.999851,0.020372,0.995204,28.503911,0.044753,0.999851,0.00062891,0.0000,35.31
132,5.415980,0.999851,0.023423,0.996403,28.711981,0.043632,1.000000,0.00062367,0.0000,35.24
133,5.337936,0.999851,0.006082,0.997602,29.302606,0.047041,0.999702,0.00061842,0.0000,35.87
134,5.360147,0.999702,0.030343,0.994005,28.532220,0.045048,1.000000,0.00061316,0.0000,34.93
135,5.290540,0.999851,0.020075,0.996403,29.124662,0.045539,1.000000,0.00060788,0.0000,35.47
136,5.247967,0.999851,0.012161,0.996403,29.381237,0.040577,0.999851,0.00060259,0.0000,35.83
137,5.365066,0.999851,0.016510,0.996403,29.377353,0.043223,1.000000,0.00059728,0.0000,35.88
138,5.207026,0.999851,0.016798,0.996403,29.362148,0.041843,0.999851,0.00059197,0.0000,34.78
139,5.164973,0.999702,0.010085,0.997602,29.562595,0.040551,0.999851,0.00058665,0.0000,35.34
140,5.143625,0.999851,0.016747,0.995204,29.303605,0.041086,1.000000,0.00058131,0.0000,35.03
141,5.096618,0.999851,0.018253,0.996403,29.575340,0.039073,1.000000,0.00057597,0.0000,35.15
142,5.012595,0.999851,0.004099,0.998801,29.468283,0.036715,1.000000,0.00057061,0.0000,35.14
143,5.080300,0.999702,0.014116,0.995204,29.845994,0.037641,0.999851,0.00056525,0.0000,36.10
144,4.995110,0.999851,0.009536,0.998801,30.110757,0.037987,1.000000,0.00055988,0.0000,35.38
145,4.961796,0.999851,0.012270,0.996403,29.353733,0.037531,1.000000,0.00055451,0.0000,34.42
146,5.057500,0.999851,0.009244,0.997602,29.668407,0.039771,1.000000,0.00054912,0.0000,34.99
147,4.814734,0.999851,0.027046,0.995204,29.385195,0.034233,0.999851,0.00054373,0.0000,35.53
148,4.799984,0.999851,0.011323,0.996403,29.838708,0.033023,1.000000,0.00053834,0.0000,35.59
149,4.777017,0.999702,0.010581,0.997602,30.441727,0.036314,0.999851,0.00053294,0.0000,35.03
150,4.741914,0.999851,0.011752,0.998801,30.486450,0.037349,0.999851,0.00052754,0.0000,35.50
151,4.699683,0.999851,0.005023,0.997602,30.486436,0.034108,1.000000,0.00052214,0.0000,35.56
152,4.707858,0.999851,0.009505,0.997602,30.330378,0.032687,0.999851,0.00051673,0.0000,34.78
153,4.655871,0.999851,0.009534,0.996403,30.433977,0.034661,1.000000,0.00051132,0.0000,35.48
154,4.558247,0.999851,0.013916,0.996403,30.441319,0.033996,0.999851,0.00050591,0.0000,34.97
