epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
27,4.924406,2.601576,2.32283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055867,0.28337,0.0,0.0,1.0,2.624683,0.9952,2.349e-05,20.6,2.172829
28,4.911327,2.595906,2.315422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055739,0.28246,0.0,0.0,0.9998,2.622274,0.994,2.294e-05,20.8,2.183422
29,4.907505,2.590953,2.316552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055634,0.282615,0.0,0.0,0.9998,2.629122,0.9964,2.237e-05,20.9,2.169591
30,4.904318,2.603502,2.300815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999,0.280602,0.0,0.0,1.0,2.62013,0.9952,2.179e-05,20.7,2.183198
31,4.897059,2.597435,2.299624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0558,0.280478,0.0,0.0,1.0,2.618826,0.9952,2.12e-05,21.0,2.182386
32,4.886562,2.589416,2.297146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055602,0.280193,0.0,0.0,0.9998,2.625368,0.9952,2.059e-05,20.6,2.177913
33,4.881979,2.582983,2.298996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055443,0.280444,0.0,0.0,1.0,2.615996,0.9952,1.998e-05,20.8,2.180558
34,4.875177,2.581516,2.293662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055438,0.279778,0.0,0.0,1.0,2.618124,0.9952,1.936e-05,20.7,2.180673
35,4.883527,2.598865,2.284662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055903,0.278595,0.0,0.0,0.9998,2.626494,0.994,1.873e-05,20.8,2.172985
36,4.860966,2.574612,2.286353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055225,0.278891,0.0,0.0,0.9998,2.612307,0.9952,1.809e-05,20.7,2.184391
37,4.863521,2.578812,2.28471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055375,0.278667,0.0,0.0,1.0,2.604272,0.994,1.745e-05,20.6,2.190898
38,4.858516,2.576878,2.281638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055314,0.278291,0.0,0.0,1.0,2.614925,0.994,1.68e-05,20.5,2.188315
39,4.85714,2.574322,2.282818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055208,0.278451,0.0,0.0,1.0,2.619325,0.994,1.615e-05,20.6,2.181586
40,4.85132,2.571733,2.279587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055194,0.278049,0.0,0.0,1.0,2.608109,0.994,1.55e-05,20.6,2.18793
41,4.858531,2.588313,2.270218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055642,0.276822,0.0,0.0,1.0,2.605134,0.9952,1.485e-05,20.8,2.188717
42,4.844027,2.573554,2.270473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055222,0.276906,0.0,0.0,1.0,2.595199,0.9952,1.42e-05,20.6,2.197494
