global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
66,2,16,2.353613,3.144270,0.7605,2.879740,0.6319,0.019430,5,131.3
67,2,17,2.176827,2.979948,0.8305,2.754207,0.6655,0.018781,5,131.5
68,2,18,2.078972,2.895554,0.8567,2.647077,0.7146,0.018109,5,129.6
69,2,19,1.982381,2.819342,0.8918,2.531605,0.7482,0.017417,5,132.3
70,2,20,1.906146,2.718495,0.9168,2.440751,0.7614,0.016708,5,130.5
71,2,21,1.839021,2.670001,0.9357,2.343098,0.7830,0.015984,5,128.0
72,2,22,1.774763,2.587003,0.9516,2.319725,0.7938,0.015249,5,130.4
73,2,23,1.734189,2.517732,0.9651,2.244684,0.8201,0.014504,5,130.2
74,2,24,1.677187,2.464986,0.9751,2.194224,0.8225,0.013753,5,130.5
75,2,25,1.633695,2.390151,0.9865,2.162077,0.8429,0.013000,5,129.6
76,2,26,1.606370,2.378818,0.9856,2.132757,0.8429,0.012247,5,128.3
77,2,27,1.581407,2.327305,0.9886,2.108332,0.8441,0.011496,5,130.5
78,2,28,1.551219,2.301461,0.9943,2.066364,0.8633,0.010751,5,129.9
79,2,29,1.539318,2.288857,0.9958,2.033756,0.8741,0.010016,5,129.5
80,2,30,1.517634,2.270205,0.9949,2.025823,0.8645,0.009292,5,130.5
81,2,31,1.490613,2.239096,0.9961,2.001825,0.8705,0.008583,5,129.7
82,2,32,1.484571,2.219149,0.9985,2.003028,0.8777,0.007891,5,128.8
83,2,33,1.471594,2.205097,0.9994,1.950795,0.8861,0.007219,5,129.5
84,2,34,1.447321,2.188180,0.9988,1.953463,0.8813,0.006570,5,129.6
85,2,35,1.446586,2.167911,0.9988,1.934993,0.8765,0.005947,5,130.5
86,2,36,1.437226,2.161704,0.9976,1.927877,0.8885,0.005351,5,130.7
87,2,37,1.423722,2.153145,0.9988,1.932863,0.8837,0.004785,5,131.1
88,2,38,1.413193,2.131268,0.9997,1.904620,0.8885,0.004252,5,130.2
89,2,39,1.408423,2.128817,0.9997,1.892774,0.8945,0.003754,5,129.0
90,2,40,1.405378,2.111879,0.9994,1.890350,0.8933,0.003292,5,128.0
91,2,41,1.399042,2.118023,0.9991,1.886814,0.8897,0.002868,5,129.8
92,2,42,1.390918,2.100339,1.0000,1.866552,0.8921,0.002484,5,127.3
93,2,43,1.381673,2.098481,1.0000,1.874283,0.8921,0.002142,5,127.2
94,2,44,1.377440,2.091575,1.0000,1.868576,0.8897,0.001843,5,127.9
95,2,45,1.378175,2.097742,0.9997,1.869264,0.8873,0.001587,5,125.5
96,2,46,1.377511,2.083060,1.0000,1.854948,0.8957,0.001377,5,129.9
97,2,47,1.370520,2.080812,1.0000,1.857055,0.8969,0.001213,5,128.4
98,2,48,1.371255,2.081513,1.0000,1.852882,0.8909,0.001095,5,128.4
99,2,49,1.367929,2.064168,1.0000,1.850526,0.8897,0.001024,5,129.4
100,2,50,1.368227,2.074318,1.0000,1.851542,0.8933,0.001000,5,127.9
101,3,1,6.712098,0.000000,0.0003,6.666482,0.0036,0.024976,3,40.3
102,3,2,6.532570,0.000000,0.0069,6.439889,0.0072,0.024905,3,39.8
103,3,3,6.320543,0.000000,0.0051,6.351839,0.0120,0.024787,3,39.8
104,3,4,6.061386,0.000000,0.0177,6.038805,0.0216,0.024623,3,38.4
105,3,5,5.714492,0.000000,0.0358,6.053786,0.0312,0.024413,3,38.3
106,3,6,5.344379,0.000000,0.0601,5.419836,0.0755,0.024157,3,38.9
107,3,7,5.002231,0.000000,0.0895,5.188692,0.1115,0.023858,3,39.3
108,3,8,4.638677,0.000000,0.1454,4.886363,0.1367,0.023516,3,39.9
109,3,9,4.326342,0.000000,0.2058,4.854100,0.1595,0.023132,3,39.6
110,3,10,3.968868,0.000000,0.2770,4.631194,0.2026,0.022708,3,40.3
111,3,11,3.693219,0.000000,0.3468,5.235391,0.1319,0.022246,3,40.1
112,3,12,3.475461,0.000000,0.4123,4.744379,0.2098,0.021748,3,40.1
113,3,13,3.228280,0.000000,0.4663,4.048565,0.3405,0.021215,3,39.5
114,3,14,2.957814,0.000000,0.5598,3.938039,0.3585,0.020649,3,40.7
115,3,15,2.780827,0.000000,0.6199,3.802233,0.4185,0.020053,3,39.6
116,3,16,2.609025,3.427284,0.6773,3.290809,0.5348,0.019430,3,76.7
117,3,17,2.470953,3.298151,0.7151,2.920091,0.6295,0.018781,3,76.5
118,3,18,2.325323,3.155258,0.7873,3.035453,0.5947,0.018109,3,75.6
119,3,19,2.231476,3.033194,0.8113,2.833213,0.6655,0.017417,3,76.1
120,3,20,2.126454,2.938089,0.8344,2.667208,0.7146,0.016708,3,74.8
121,3,21,2.019976,2.847148,0.8837,2.622862,0.7182,0.015984,3,76.6
122,3,22,1.972413,2.801923,0.8972,2.552979,0.7398,0.015249,3,75.4
123,3,23,1.881129,2.726598,0.9300,2.456552,0.7638,0.014504,3,76.4
124,3,24,1.860036,2.662632,0.9348,2.442444,0.7410,0.013753,3,76.2
125,3,25,1.811798,2.617134,0.9441,2.372349,0.7770,0.013000,3,76.2
126,3,26,1.764917,2.552599,0.9546,2.331843,0.7902,0.012247,3,76.0
127,3,27,1.727374,2.520772,0.9657,2.236904,0.8046,0.011496,3,76.9
128,3,28,1.690431,2.489842,0.9709,2.250718,0.8118,0.010751,3,76.5
129,3,29,1.664675,2.469518,0.9790,2.188880,0.8285,0.010016,3,72.8
130,3,30,1.632737,2.420973,0.9817,2.137234,0.8417,0.009292,3,76.0
131,3,31,1.612531,2.387783,0.9871,2.106650,0.8441,0.008583,3,77.3
132,3,32,1.591501,2.365079,0.9895,2.088503,0.8477,0.007891,3,76.3
133,3,33,1.572062,2.338387,0.9934,2.066256,0.8525,0.007219,3,76.5
134,3,34,1.549401,2.325074,0.9913,2.064215,0.8561,0.006570,3,75.0
135,3,35,1.537533,2.310175,0.9961,2.039493,0.8537,0.005947,3,74.9
136,3,36,1.529353,2.278254,0.9931,2.021967,0.8645,0.005351,3,76.8
137,3,37,1.510705,2.268480,0.9976,2.011150,0.8801,0.004785,3,75.6
138,3,38,1.499465,2.262720,0.9970,2.005836,0.8729,0.004252,3,75.8
139,3,39,1.483876,2.241270,0.9991,1.992046,0.8717,0.003754,3,76.2
140,3,40,1.483706,2.237089,0.9976,1.980061,0.8717,0.003292,3,75.9
141,3,41,1.467970,2.222102,0.9988,1.956754,0.8813,0.002868,3,77.5
142,3,42,1.466893,2.221670,0.9997,1.971744,0.8801,0.002484,3,77.9
143,3,43,1.461418,2.208940,0.9982,1.956704,0.8825,0.002142,3,77.4
144,3,44,1.462006,2.204923,0.9985,1.950263,0.8897,0.001843,3,72.9
145,3,45,1.456347,2.192833,0.9988,1.946935,0.8849,0.001587,3,76.2
146,3,46,1.453903,2.192761,0.9985,1.947751,0.8885,0.001377,3,76.3
147,3,47,1.449129,2.186933,0.9991,1.937221,0.8849,0.001213,3,75.5
148,3,48,1.446197,2.189727,0.9991,1.932947,0.8957,0.001095,3,76.2
149,3,49,1.441510,2.175776,1.0000,1.927076,0.8921,0.001024,3,74.1
150,3,50,1.445615,2.172712,0.9985,1.925478,0.8945,0.001000,3,75.1
