epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
60,3.778889,0.999702,0.005287,0.998801,28.697854,0.000000,1.000000,0.00092850,0.0000,15.84
61,3.485327,0.999851,0.025851,0.992806,29.083698,0.000000,1.000000,0.00092569,0.0000,15.92
62,3.370186,0.999851,0.031574,0.994005,28.598507,0.000000,1.000000,0.00092282,0.0000,15.87
63,3.162040,0.999851,0.025521,0.995204,29.442572,0.000000,1.000000,0.00091991,0.0000,16.21
64,3.032169,0.999702,0.012576,0.996403,29.774504,0.000000,1.000000,0.00091694,0.0000,16.11
65,2.921806,0.999851,0.012250,0.998801,29.805811,0.000000,1.000000,0.00091393,0.0000,16.37
66,2.738324,0.999851,0.010373,0.997602,29.856153,0.000000,1.000000,0.00091087,0.0000,15.97
67,2.489308,0.999851,0.007170,0.997602,29.592794,0.000000,1.000000,0.00090776,0.0000,16.11
68,2.532194,0.999702,0.005661,0.997602,30.135470,0.000000,1.000000,0.00090460,0.0000,16.17
69,2.388089,0.999851,0.008647,0.997602,30.819904,0.000000,1.000000,0.00090140,0.0000,15.93
70,2.233225,0.999851,0.007035,0.998801,31.158629,0.000000,1.000000,0.00089815,0.0000,16.36
71,2.199850,0.999851,0.001552,1.000000,30.699358,0.000000,1.000000,0.00089485,0.0000,15.91
72,1.983541,0.999851,0.006999,0.998801,31.159552,0.000000,1.000000,0.00089151,0.0000,15.88
73,2.012498,0.999702,0.004548,0.998801,31.420693,0.000000,1.000000,0.00088812,0.0000,15.91
74,1.986417,0.999851,0.004759,0.998801,30.870018,0.000000,1.000000,0.00088468,0.0000,15.94
75,1.862258,0.999851,0.002024,0.998801,31.443311,0.000000,1.000000,0.00088120,0.0000,16.01
76,1.651866,0.999851,0.012546,0.998801,30.430448,0.000000,1.000000,0.00087767,0.0000,16.23
77,1.654941,0.999851,0.005759,0.998801,31.720634,0.000000,1.000000,0.00087410,0.0000,16.11
78,1.582027,0.999851,0.003354,0.998801,32.726798,0.000000,1.000000,0.00087049,0.0000,16.04
79,1.510382,0.999851,0.003318,0.998801,32.071770,0.000000,1.000000,0.00086683,0.0000,15.92
80,1.390501,1.000000,0.003191,0.998801,32.342247,0.000000,1.000000,0.00086313,0.0000,16.12
81,1.376785,0.999851,0.001861,1.000000,31.942385,0.000000,1.000000,0.00085939,0.0000,16.19
82,1.365812,0.999851,0.007061,0.998801,33.072432,0.000000,1.000000,0.00085561,0.0000,16.13
83,1.279950,0.999851,0.002915,0.998801,33.508606,0.000000,1.000000,0.00085178,0.0000,16.26
84,1.259239,0.999851,0.003289,0.998801,32.658774,0.000000,1.000000,0.00084791,0.0000,15.99
85,1.197183,0.999851,0.000950,1.000000,33.661807,0.000000,1.000000,0.00084401,0.0000,16.25
86,1.133666,0.999851,0.001509,0.998801,32.116423,0.000000,1.000000,0.00084006,0.0000,16.09
87,1.137497,0.999851,0.009503,0.998801,32.112149,0.000000,1.000000,0.00083607,0.0000,16.21
88,1.065854,0.999851,0.001190,1.000000,33.693343,0.000000,1.000000,0.00083204,0.0000,16.16
89,1.055134,0.999851,0.007445,0.998801,33.767538,0.000000,1.000000,0.00082797,0.0000,16.19
90,0.977409,1.000000,0.000630,1.000000,33.774877,0.000000,1.000000,0.00082387,0.0000,16.08
91,0.958439,0.999851,0.000393,1.000000,32.476036,0.000000,1.000000,0.00081973,0.0000,16.14
92,0.922024,0.999851,0.003653,0.998801,33.779425,0.000000,1.000000,0.00081555,0.0000,15.98
93,0.933354,0.999851,0.007440,0.997602,33.317421,0.000000,1.000000,0.00081133,0.0000,16.08
94,0.874875,0.999851,0.000319,1.000000,33.923411,0.000000,1.000000,0.00080707,0.0000,16.36
95,0.874608,1.000000,0.001712,0.998801,34.411071,0.000000,1.000000,0.00080278,0.0000,15.66
96,0.820379,1.000000,0.008061,0.998801,34.904820,0.000000,1.000000,0.00079846,0.0000,15.91
97,0.776485,0.999851,0.005587,0.997602,34.290961,0.000000,1.000000,0.00079410,0.0000,15.67
98,0.817958,1.000000,0.000321,1.000000,33.549785,0.000000,1.000000,0.00078970,0.0000,15.69
99,0.750984,1.000000,0.002604,0.997602,35.130441,0.000000,1.000000,0.00078528,0.0000,15.80
100,0.723436,1.000000,0.000680,1.000000,35.270746,0.000000,1.000000,0.00078081,0.0000,15.72
101,0.688493,1.000000,0.005151,0.998801,34.663158,0.000000,1.000000,0.00077632,0.0000,15.92
102,0.700198,1.000000,0.002189,0.998801,34.964208,0.000000,1.000000,0.00077179,0.0000,15.68
103,0.688387,1.000000,0.001082,0.998801,35.735309,0.000000,1.000000,0.00076723,0.0000,15.61
104,0.646316,1.000000,0.004588,0.997602,34.830004,0.000000,1.000000,0.00076264,0.0000,15.83
105,0.629848,1.000000,0.000187,1.000000,34.932143,0.000000,1.000000,0.00075802,0.0000,15.60
106,0.626728,1.000000,0.002301,0.998801,34.902869,0.000000,1.000000,0.00075337,0.0000,16.00
107,0.623892,1.000000,0.000838,1.000000,34.623268,0.000000,1.000000,0.00074869,0.0000,15.65
108,0.582339,1.000000,0.004221,0.998801,35.441876,0.000000,1.000000,0.00074398,0.0000,15.78
109,0.565335,1.000000,0.005580,0.997602,35.181499,0.000000,1.000000,0.00073924,0.0000,15.60
110,0.522268,1.000000,0.000555,1.000000,35.269454,0.000000,1.000000,0.00073447,0.0000,15.80
111,0.528388,1.000000,0.000030,1.000000,35.195631,0.000000,1.000000,0.00072968,0.0000,15.86
112,0.509454,1.000000,0.001695,0.998801,35.062422,0.000000,1.000000,0.00072485,0.0000,15.76
113,0.499270,1.000000,0.000111,1.000000,35.252592,0.000000,1.000000,0.00072001,0.0000,15.79
114,0.499668,1.000000,0.000293,1.000000,35.673469,0.000000,1.000000,0.00071513,0.0000,16.06
115,0.478329,1.000000,0.001231,1.000000,35.299103,0.000000,1.000000,0.00071023,0.0000,15.63
116,0.471025,1.000000,0.008648,0.998801,34.906457,0.000000,1.000000,0.00070531,0.0000,16.07
117,0.449118,1.000000,0.005449,0.997602,35.151227,0.000000,1.000000,0.00070036,0.0000,15.76
118,0.453798,1.000000,0.000205,1.000000,35.930077,0.000000,1.000000,0.00069539,0.0000,16.00
119,0.440577,1.000000,0.000546,1.000000,36.164102,0.000000,1.000000,0.00069040,0.0000,15.63
120,0.411895,1.000000,0.000674,1.000000,36.192867,0.000000,1.000000,0.00068538,0.0000,15.96
121,0.407860,1.000000,0.001429,0.998801,36.451559,0.000000,1.000000,0.00068035,0.0000,15.96
122,0.387753,1.000000,0.000888,1.000000,36.617900,0.000000,1.000000,0.00067529,0.0000,15.64
123,0.399061,1.000000,0.000480,1.000000,36.154719,0.000000,1.000000,0.00067021,0.0000,15.81
124,0.379133,1.000000,0.001144,1.000000,36.416511,0.000000,1.000000,0.00066511,0.0000,15.80
125,0.356712,1.000000,0.003173,0.998801,36.855094,0.000000,1.000000,0.00065999,0.0000,15.99
126,0.384001,1.000000,0.000032,1.000000,36.660269,0.000000,1.000000,0.00065485,0.0000,15.83
127,0.365061,1.000000,0.000711,1.000000,29.389186,0.000000,1.000000,0.00064970,0.0000,15.69
128,0.355925,1.000000,0.000182,1.000000,36.749903,0.000000,1.000000,0.00064453,0.0000,15.64
129,0.325124,1.000000,0.000664,1.000000,36.721077,0.000000,1.000000,0.00063934,0.0000,15.64
130,0.349551,1.000000,0.002060,0.998801,36.889314,0.000000,1.000000,0.00063413,0.0000,15.78
131,0.331111,1.000000,0.000031,1.000000,36.964161,0.000000,1.000000,0.00062891,0.0000,15.76
132,0.325605,1.000000,0.000048,1.000000,36.720949,0.000000,1.000000,0.00062367,0.0000,15.97
133,0.300266,1.000000,0.000023,1.000000,36.235199,0.000000,1.000000,0.00061842,0.0000,15.85
134,0.301825,1.000000,0.001979,0.998801,37.101448,0.000000,1.000000,0.00061316,0.0000,15.60
135,0.274992,1.000000,0.000573,1.000000,36.801631,0.000000,1.000000,0.00060788,0.0000,16.02
136,0.292503,1.000000,0.000337,1.000000,36.577613,0.000000,1.000000,0.00060259,0.0000,15.65
137,0.286094,1.000000,0.002507,0.998801,36.941735,0.000000,1.000000,0.00059728,0.0000,15.71
138,0.265466,1.000000,0.000039,1.000000,37.001701,0.000000,1.000000,0.00059197,0.0000,15.81
