epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,loss_fcd,loss_arcface_raw,loss_arcface_weighted,loss_logit_kd_weighted,logit_kd_effective_weight,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.754396,0.0024,,,-15.628503
1,2.807803,17.239945,1.083808,0.0,0.0,0.973296,44.205089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22857143,0.65437708,-14.72514881,0.97329562,17.23994462,1.72399448,0.11051272,0.0025,0.001,11.22297,0.0012,0.00010095,30.5,-8.906031
2,2.663003,15.845919,1.078411,0.0,0.0,0.879295,39.823268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-11.33377976,0.87929509,15.84591852,1.58459187,0.19911633,0.005,0.0013,7.935668,0.0012,0.00020095,29.6,-4.512003
3,2.752386,16.2379,1.128596,0.0,0.0,0.851439,36.954316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.95825893,0.85143855,16.23789956,1.62378998,0.27715736,0.0075,0.0004,7.230763,0.006,0.00030095,29.5,-3.103531
4,2.971729,17.59773,1.211956,0.0,0.0,0.848829,36.312743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.67678571,0.84882886,17.59773047,1.75977307,0.36312742,0.01,0.0004,7.239349,0.0024,0.00040095,29.5,-3.327264
5,3.209691,19.112134,1.298478,0.0,0.0,0.846484,36.159512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.60844494,0.84648388,19.11213404,1.91121342,0.4519939,0.0125,0.0009,7.000523,0.0036,0.00050095,29.7,-3.409965
6,3.419869,20.415964,1.378272,0.0,0.0,0.839396,35.925113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.33422619,0.8393958,20.41596389,2.04159643,0.53887669,0.015,0.0007,7.821309,0.0024,0.00060095,29.6,-5.237296
7,3.597217,21.53243,1.443974,0.0,0.0,0.822526,35.511339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-8.88660714,0.82252572,21.53243041,2.15324309,0.62144843,0.0175,0.0022,7.467869,0.0108,0.00070095,29.5,-4.849972
8,3.741191,22.396525,1.501539,0.0,0.0,0.80173,34.990428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-8.17671131,0.80173003,22.39652497,2.23965253,0.69980853,0.02,0.0024,5.757488,0.0408,0.00080095,29.5,-3.224407
9,3.885132,23.268719,1.55826,0.0,0.0,0.78406,34.408851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.45915179,0.78406035,23.26871939,2.32687198,0.77419919,0.0225,0.0043,6.147417,0.0252,0.00090095,29.7,-4.092047
