epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,1.003803,0.293292,1.714315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.329774,0.976,2.019e-05,26.0
2,0.959305,0.357051,1.561559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971,0.425293,0.9748,4.019e-05,24.9
3,0.912995,0.459241,1.36675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.492464,0.9772,6.019e-05,24.7
4,0.890243,0.527987,1.252499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.52291,0.9724,8.019e-05,24.1
5,0.87394,0.550376,1.197504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.537542,0.976,0.0001,23.2
6,0.863759,0.558993,1.168525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.562176,0.9808,9.999e-05,25.4
7,0.855121,0.565945,1.144297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977,0.558319,0.9796,9.996e-05,25.2
8,0.851896,0.571737,1.132056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.563853,0.9784,9.991e-05,25.2
9,0.847117,0.57113,1.123104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.556548,0.976,9.984e-05,24.9
10,0.839756,0.564883,1.11463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.556003,0.9784,9.975e-05,25.2
11,0.835811,0.568418,1.103205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.548564,0.9796,9.963e-05,25.1
12,0.831961,0.564195,1.099726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.540307,0.976,9.95e-05,25.6
13,0.82812,0.562367,1.093873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983,0.546616,0.9784,9.935e-05,24.8
14,0.826646,0.564964,1.088329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.558323,0.9772,9.918e-05,24.4
15,0.822034,0.568477,1.07559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.533115,0.976,9.899e-05,24.2
16,0.822983,0.563972,1.081993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.547042,0.9772,9.877e-05,25.2
17,0.81955,0.565776,1.073324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.555149,0.9736,9.854e-05,24.5
18,0.812828,0.550597,1.075059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.554343,0.9784,9.829e-05,25.0
19,0.814797,0.564389,1.065205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986,0.551821,0.976,9.802e-05,24.3
20,0.813618,0.560777,1.066459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.532039,0.976,9.773e-05,25.2
21,0.811928,0.561433,1.062423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982,0.561497,0.9724,9.742e-05,24.9
22,0.809388,0.560819,1.057958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.534658,0.9772,9.709e-05,25.4
23,0.806231,0.554114,1.058348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.551262,0.9748,9.674e-05,24.7
