epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
44,0.087547,0.077905,0.009642,0.0,0.0,0.0,0.320433,0.016168,0.363582,1.0,1.0,0.14986,0.982,6e-08,22.1
45,0.088836,0.078024,0.010812,0.0,0.0,0.0,0.321284,0.021931,0.350661,1.0,1.0,0.149233,0.982,5e-08,21.5
46,0.087996,0.078164,0.009833,0.0,0.0,0.0,0.319071,0.017256,0.368239,1.00015,0.9998,0.148533,0.982,5e-08,21.8
47,0.089347,0.078933,0.010414,0.0,0.0,0.0,0.325495,0.01952,0.3436,1.00015,0.9998,0.147936,0.982,4e-08,21.5
48,0.085269,0.07517,0.010099,0.0,0.0,0.0,0.325577,0.017938,0.3436,1.0,1.0,0.147381,0.982,4e-08,21.7
49,0.085777,0.075478,0.010299,0.0,0.0,0.0,0.329553,0.018541,0.345403,1.0,1.0,0.146891,0.982,4e-08,21.7
50,0.087764,0.07725,0.010514,0.0,0.0,0.0,0.326891,0.019883,0.34991,1.0,1.0,0.146435,0.982,3e-08,21.6
51,0.084476,0.074263,0.010212,0.0,0.0,0.0,0.32866,0.018196,0.333684,1.0,1.0,0.145987,0.982,3e-08,21.5
52,0.083324,0.073473,0.009851,0.0,0.0,0.0,0.331382,0.016117,0.338191,1.0,1.0,0.145593,0.982,3e-08,21.6
53,0.084888,0.074674,0.010213,0.0,0.0,0.0,0.329746,0.018092,0.341496,1.0,1.0,0.145263,0.982,3e-08,21.9
54,0.08651,0.075579,0.010931,0.0,0.0,0.0,0.331046,0.021548,0.340294,1.0,1.0,0.144952,0.982,3e-08,21.4
55,0.083227,0.072964,0.010263,0.0,0.0,0.0,0.330432,0.018273,0.343299,1.0,1.0,0.144674,0.982,2e-08,22.2
56,0.081727,0.07163,0.010097,0.0,0.0,0.0,0.340204,0.016463,0.334285,1.0,1.0,0.144395,0.982,2e-08,22.2
57,0.084741,0.074744,0.009997,0.0,0.0,0.0,0.33156,0.016827,0.332482,1.0,1.0,0.144147,0.982,2e-08,21.6
58,0.083467,0.073659,0.009808,0.0,0.0,0.0,0.333613,0.015681,0.338341,1.0,1.0,0.143864,0.982,2e-08,22.0
59,0.081912,0.072006,0.009905,0.0,0.0,0.0,0.334302,0.016096,0.339393,1.0,1.0,0.143595,0.982,2e-08,21.7
60,0.081799,0.07178,0.010019,0.0,0.0,0.0,0.335916,0.016504,0.334585,1.0,1.0,0.143365,0.982,2e-08,21.9
