epoch,train_loss,train_acc,val_loss,val_acc,val_true_class_margin,consistency_loss,view_agreement,lr,drop_path,epoch_time_sec
60,12.618658,0.997024,0.194819,0.978417,19.560323,0.234862,0.994345,0.00092850,0.0000,31.71
61,12.295523,0.996875,0.178717,0.976019,20.569017,0.216840,0.993006,0.00092569,0.0000,31.70
62,12.108171,0.997768,0.181083,0.974820,20.538672,0.211633,0.995685,0.00092282,0.0000,31.70
63,11.831480,0.997321,0.165121,0.980815,19.731838,0.196801,0.996131,0.00091991,0.0000,31.70
64,11.769473,0.997321,0.129246,0.979616,21.147092,0.199702,0.995238,0.00091694,0.0000,31.58
65,11.652655,0.998363,0.158444,0.972422,20.694780,0.188838,0.995238,0.00091393,0.0000,31.74
66,11.377180,0.997321,0.123460,0.982014,22.047496,0.182628,0.995982,0.00091087,0.0000,31.76
67,11.255563,0.998214,0.146394,0.980815,21.745886,0.180399,0.997321,0.00090776,0.0000,31.69
68,11.102874,0.997768,0.144918,0.980815,21.685511,0.182122,0.995387,0.00090460,0.0000,31.51
69,11.009828,0.998065,0.137857,0.980815,22.342578,0.169540,0.996280,0.00090140,0.0000,31.81
70,10.866731,0.998214,0.144064,0.983213,20.470613,0.164567,0.996429,0.00089815,0.0000,31.51
71,10.773900,0.998214,0.110692,0.983213,23.035102,0.162508,0.996131,0.00089485,0.0000,31.72
72,10.501559,0.998512,0.086402,0.989209,23.328397,0.157620,0.997173,0.00089151,0.0000,31.63
73,10.374600,0.999107,0.118387,0.986811,22.897340,0.151886,0.997470,0.00088812,0.0000,31.81
74,10.352437,0.998958,0.121574,0.982014,21.339422,0.155177,0.996577,0.00088468,0.0000,31.65
75,10.194886,0.998810,0.112257,0.978417,23.023202,0.148499,0.996726,0.00088120,0.0000,31.79
76,9.971636,0.998810,0.103094,0.983213,23.998685,0.135337,0.997619,0.00087767,0.0000,31.51
77,9.998046,0.999405,0.106211,0.985612,23.063790,0.141341,0.997173,0.00087410,0.0000,31.76
78,9.876832,0.999107,0.106796,0.985612,23.033310,0.143404,0.997768,0.00087049,0.0000,31.25
79,9.668179,0.998810,0.093134,0.988010,22.551144,0.127690,0.998810,0.00086683,0.0000,31.30
80,9.615321,0.998958,0.078146,0.986811,24.251015,0.132931,0.998363,0.00086313,0.0000,31.69
81,9.475304,0.999107,0.082462,0.983213,23.568643,0.124383,0.997917,0.00085939,0.0000,31.87
82,9.494471,0.999702,0.083376,0.984412,24.219826,0.127609,0.997619,0.00085561,0.0000,31.62
