epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_acc,val_loss,val_acc,lr,time_s
58,0.097032,0.070352,0.082962,0.016592,0.0,0.0,1.0,0.162446,0.9844,6e-08,19.7
59,0.096986,0.070097,0.082967,0.016593,0.0,0.0,1.0,0.162013,0.9844,5e-08,19.8
60,0.096036,0.069075,0.082221,0.016444,0.0,0.0,1.0,0.161628,0.9844,5e-08,19.8
61,0.095982,0.068244,0.082333,0.016467,0.0,0.0,0.9997,0.161274,0.9844,5e-08,20.0
62,0.095823,0.069686,0.081886,0.016377,0.0,0.0,1.0,0.161018,0.9844,4e-08,19.8
63,0.09448,0.069331,0.080614,0.016123,0.0,0.0,1.0,0.160683,0.9844,4e-08,19.9
64,0.097912,0.069201,0.084072,0.016814,0.0,0.0,1.0,0.160375,0.9844,4e-08,19.7
65,0.096608,0.068589,0.08289,0.016578,0.0,0.0,1.0,0.160196,0.9844,4e-08,19.9
66,0.095842,0.069643,0.081914,0.016383,0.0,0.0,1.0,0.159938,0.9844,4e-08,19.9
67,0.097986,0.067615,0.084463,0.016893,0.0,0.0,1.0,0.159728,0.9844,3e-08,19.8
68,0.095505,0.068301,0.081845,0.016369,0.0,0.0,1.0,0.159494,0.9844,3e-08,19.9
69,0.096384,0.07005,0.082374,0.016475,0.0,0.0,1.0,0.159276,0.9844,3e-08,19.7
70,0.094976,0.069456,0.081085,0.016217,0.0,0.0,0.9998,0.159056,0.9844,3e-08,19.6
71,0.094067,0.067769,0.080513,0.016103,0.0,0.0,1.0,0.158844,0.9844,3e-08,19.8
72,0.095476,0.068444,0.081787,0.016357,0.0,0.0,1.0,0.158651,0.9844,3e-08,19.9
73,0.095348,0.068346,0.081679,0.016336,0.0,0.0,1.0,0.158442,0.9844,2e-08,19.8
74,0.09545,0.066634,0.082123,0.016425,0.0,0.0,0.9998,0.15827,0.9844,2e-08,19.7
75,0.095083,0.067497,0.081584,0.016317,0.0,0.0,1.0,0.158108,0.9844,2e-08,19.7
76,0.097216,0.06649,0.083918,0.016784,0.0,0.0,1.0,0.157955,0.9844,2e-08,19.9
77,0.095251,0.066697,0.081912,0.016382,0.0,0.0,1.0,0.157819,0.9844,2e-08,20.0
78,0.096264,0.068296,0.082605,0.016521,0.0,0.0,1.0,0.15769,0.9844,2e-08,20.0
79,0.094274,0.064937,0.081287,0.016257,0.0,0.0,1.0,0.157552,0.9844,2e-08,20.0
80,0.095138,0.066309,0.081876,0.016375,0.0,0.0,1.0,0.15744,0.9844,2e-08,20.0
