global_epoch,stage,epoch,w_loss,a_loss,train_acc,val_loss,val_acc,lr,num_ops,epoch_time
66,3,16,2.091585,3.222615,0.8422,2.873522,0.6451,0.007891,3,87.1
67,3,17,1.974566,3.095594,0.8777,2.770278,0.6703,0.006570,3,87.5
68,3,18,1.880065,3.010691,0.9252,2.742699,0.6894,0.005351,3,87.6
69,3,19,1.821029,2.944368,0.9363,2.674474,0.6942,0.004252,3,86.4
70,3,20,1.766533,2.907709,0.9525,2.583704,0.7146,0.003292,3,86.3
71,3,21,1.717522,2.854041,0.9681,2.545520,0.7266,0.002484,3,86.2
72,3,22,1.693477,2.836905,0.9703,2.523787,0.7386,0.001843,3,85.3
73,3,23,1.664539,2.803434,0.9754,2.513432,0.7230,0.001377,3,85.5
74,3,24,1.637558,2.776296,0.9811,2.487636,0.7338,0.001095,3,85.4
75,3,25,1.634817,2.777696,0.9820,2.475646,0.7362,0.001000,3,86.3
