epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,loss_fcd,loss_arcface_raw,loss_arcface_weighted,loss_logit_kd_weighted,logit_kd_effective_weight,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
14,3.609241,27.741865,0.835055,0.0,0.0,0.718994,33.160261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-4.10072545,0.71899373,27.74186459,2.77418651,0.11606092,0.0035,0.0387,5.397652,0.054,0.00099953,35.2,-3.863971
15,3.705836,28.755857,0.83025,0.0,0.0,0.707291,32.788962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.57083333,0.70729144,28.75585669,2.87558571,0.12295861,0.00375,0.0656,3.274274,0.253,0.00099927,34.9,-1.635645
16,3.800021,29.759425,0.824079,0.0,0.0,0.694404,32.418671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.04324777,0.69440421,29.75942525,2.97594257,0.12967469,0.004,0.0966,3.367522,0.2206,0.00099895,35.3,-1.895784
17,3.907595,30.869551,0.82064,0.0,0.0,0.683807,32.195815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.68809524,0.68380735,30.86955129,3.08695518,0.13683222,0.00425,0.1251,3.505833,0.2326,0.00099856,34.8,-2.104454
18,4.007,31.944648,0.812535,0.0,0.0,0.669507,31.783946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.29950707,0.66950709,31.94464751,3.1944648,0.14302775,0.0045,0.1594,2.165333,0.4616,0.00099813,35.5,-0.303227
19,4.109566,33.018552,0.807711,0.0,0.0,0.657757,31.569209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.93205218,0.65775688,33.01855176,3.30185523,0.14995374,0.00475,0.211,2.841296,0.3237,0.00099763,35.5,-1.24483
20,4.208834,34.0787,0.800964,0.0,0.0,0.644085,31.375753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.56568807,0.64408516,34.0787004,3.40787008,0.15687876,0.005,0.2668,2.78142,0.3417,0.00099707,34.6,-1.28774
21,4.159614,33.69362,0.790252,0.0,0.0,0.633409,31.368701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.23852423,0.63340851,33.69361954,3.36936201,0.1568435,0.005,0.3162,2.38633,0.4029,0.00099646,35.6,-0.724574
22,4.108073,33.299205,0.778152,0.0,0.0,0.620995,31.431488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.88766654,0.62099474,33.29920462,3.32992051,0.15715744,0.005,0.3735,2.8675,0.3837,0.00099579,36.5,-1.303986
23,4.046811,32.793125,0.767499,0.0,0.0,0.60869,31.761693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.44748099,0.60869027,32.79312544,3.27931258,0.15880846,0.005,0.4318,1.399097,0.6367,0.00099505,35.9,1.324748
24,3.980686,32.209211,0.759765,0.0,0.0,0.597698,32.413419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.09301787,0.59769778,32.20921059,3.2209211,0.16206709,0.005,0.4935,2.095747,0.5492,0.00099427,35.7,0.625383
25,3.908349,31.524326,0.755916,0.0,0.0,0.588947,33.393952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.69288243,0.58894666,31.52432576,3.15243263,0.16696976,0.005,0.5503,2.081469,0.5767,0.00099342,35.7,1.103824
26,3.818205,30.650247,0.75318,0.0,0.0,0.579753,34.685551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,1.45193452,0.57975252,30.65024737,3.06502478,0.17342775,0.005,0.6094,1.171896,0.7278,0.00099252,35.9,3.435332
27,3.713427,29.611686,0.752258,0.0,0.0,0.57058,36.335555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,2.31753511,0.5705803,29.61168643,2.9611687,0.18167777,0.005,0.6662,2.584431,0.5288,0.00099155,35.5,0.458136
28,3.601039,28.520897,0.748949,0.0,0.0,0.559801,37.829535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,3.17008929,0.55980114,28.52089747,2.85208979,0.18914767,0.005,0.7188,1.784483,0.6954,0.00099053,35.6,2.970951
29,3.462715,27.219452,0.74077,0.0,0.0,0.546838,38.786499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,4.23762091,0.54683754,27.21945161,2.7219452,0.19393249,0.005,0.7695,0.974417,0.795,0.00098946,35.4,5.717596
30,3.321994,25.922515,0.729742,0.0,0.0,0.533969,39.154679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,5.25984933,0.53396893,25.92251511,2.59225156,0.19577339,0.005,0.8119,0.506598,0.8993,0.00098832,35.3,9.456006
31,3.167042,24.489926,0.71805,0.0,0.0,0.522397,39.130555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,6.42014509,0.52239698,24.489926,2.44899265,0.19565277,0.005,0.854,0.583069,0.8933,0.00098713,35.9,9.968672
32,3.03393,23.251275,0.708802,0.0,0.0,0.512965,39.167482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,7.37522321,0.51296469,23.25127529,2.32512758,0.19583741,0.005,0.8774,0.473287,0.9149,0.00098588,35.2,10.5579
33,2.916509,22.184075,0.698101,0.0,0.0,0.50262,39.096262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,8.20290179,0.50262013,22.18407547,2.21840759,0.19548131,0.005,0.899,0.768584,0.8657,0.00098458,35.8,8.770798
34,2.823538,21.325384,0.690999,0.0,0.0,0.49593,39.013915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,8.84460565,0.49592983,21.32538374,2.13253842,0.19506957,0.005,0.9149,1.234278,0.7986,0.00098321,36.0,6.356382
35,2.683458,20.066176,0.67684,0.0,0.0,0.483755,38.617046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,9.8421875,0.48375477,20.06617562,2.00661761,0.19308523,0.005,0.9311,0.480996,0.9137,0.00098179,36.7,11.675291
36,2.591297,19.253783,0.665919,0.0,0.0,0.474415,38.300771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,10.43802083,0.47441478,19.25378293,1.92537833,0.19150385,0.005,0.9394,0.442922,0.9077,0.00098032,37.4,11.210984
37,2.476586,18.228572,0.653729,0.0,0.0,0.465095,37.726694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,11.24977679,0.46509511,18.22857245,1.82285727,0.18863347,0.005,0.9497,0.279664,0.9556,0.00097879,37.1,14.653341
38,2.395315,17.523664,0.642949,0.0,0.0,0.456231,37.343459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,11.79650298,0.45623139,17.52366376,1.7523664,0.18671729,0.005,0.958,0.467102,0.9257,0.0009772,37.4,12.223544
39,2.30605,16.722232,0.633827,0.0,0.0,0.449195,36.926438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.42433036,0.44919501,16.72223214,1.67222324,0.18463218,0.005,0.9637,0.322006,0.9412,0.00097555,37.5,13.487649
40,2.254608,16.286047,0.626003,0.0,0.0,0.443173,36.566037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.74717262,0.44317319,16.28604698,1.62860472,0.18283018,0.005,0.9683,0.155671,0.9772,0.00097385,37.2,16.472203
41,2.168115,15.539461,0.614169,0.0,0.0,0.434664,35.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.3405506,0.43466364,15.53946074,1.55394609,0.17950499,0.005,0.9738,0.247099,0.9556,0.0009721,37.7,13.965317
42,2.103958,15.000432,0.603914,0.0,0.0,0.427035,35.375913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.76696429,0.42703471,15.0004325,1.50004327,0.17687956,0.005,0.9741,0.262101,0.9532,0.00097029,37.1,14.508725
43,2.053204,14.559709,0.597233,0.0,0.0,0.4223,34.986534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.11666667,0.42230008,14.55970949,1.45597097,0.17493266,0.005,0.9772,0.1185,0.9844,0.00096842,37.8,18.581427
44,1.991283,14.042223,0.587061,0.0,0.0,0.41502,34.40828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.53988095,0.41501955,14.04222339,1.40422236,0.17204139,0.005,0.9807,0.144227,0.9784,0.0009665,38.6,17.360489
45,1.965025,13.833809,0.581644,0.0,0.0,0.411463,34.036198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.69479167,0.41146313,13.83380874,1.3833809,0.17018099,0.005,0.9815,0.119176,0.982,0.00096452,38.7,19.310528
