epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
26,15.444557,3.772381,11.672175,23.174967,0.066642,0.813593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6131,1.957315,0.6703,0.00099252,32.0,0.462242
27,15.19313,3.670662,11.522468,22.877095,0.064873,0.806771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6562,2.054816,0.6835,0.00099155,32.1,0.578755
28,14.995758,3.586799,11.408959,22.651207,0.064006,0.801553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937,2.075728,0.6619,0.00099053,32.4,0.52052
29,14.750036,3.482999,11.267037,22.368685,0.063635,0.795132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241,1.623794,0.741,0.00098946,32.1,0.926693
30,14.539614,3.420092,11.119523,22.075,0.062503,0.788974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7451,1.737931,0.7206,0.00098832,32.5,0.788608
31,14.410207,3.357222,11.052985,21.942772,0.060928,0.785526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7747,1.637955,0.7854,0.00098713,32.3,1.077502
32,14.197749,3.291689,10.906061,21.650202,0.060008,0.779589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7933,1.247612,0.8657,0.00098588,32.5,1.587697
33,13.940264,3.201488,10.738776,21.317035,0.059101,0.773031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8305,1.287824,0.8681,0.00098458,32.4,1.466329
34,13.852583,3.184137,10.668447,21.177,0.058668,0.770134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8295,1.772105,0.7206,0.00098321,32.1,0.790798
35,13.540507,3.084122,10.456386,20.754503,0.057847,0.762422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8716,1.295522,0.8489,0.00098179,32.1,1.571407
36,13.412035,3.047352,10.364683,20.572063,0.056774,0.758125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8734,1.183684,0.8729,0.00098032,32.1,1.655559
37,13.254339,3.002862,10.251478,20.346604,0.056272,0.75362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859,0.943152,0.9293,0.00097879,32.0,2.14975
38,12.998335,2.937505,10.06083,19.966616,0.055634,0.747407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9107,0.893461,0.9269,0.0009772,32.3,2.194866
39,12.887654,2.906232,9.981422,19.808536,0.055266,0.74391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9177,1.081966,0.8933,0.00097555,32.1,1.807761
40,12.741394,2.878826,9.862568,19.571803,0.054931,0.739204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9214,0.818995,0.9329,0.00097385,32.4,2.294634
41,12.584053,2.85618,9.727873,19.303392,0.054698,0.734421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9296,0.933262,0.9125,0.0009721,32.0,2.021777
42,12.379293,2.798589,9.580704,19.010097,0.053176,0.729972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9466,1.168866,0.8741,0.00097029,32.4,1.72653
43,12.275359,2.797008,9.478351,18.806166,0.05369,0.725836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9445,0.813812,0.9424,0.00096842,31.9,2.433916
44,12.092254,2.757348,9.334906,18.520342,0.053143,0.720781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9519,0.95022,0.9221,0.0009665,31.8,2.076715
45,11.941919,2.735497,9.206422,18.264142,0.053446,0.716789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9531,0.936634,0.9209,0.00096452,32.4,2.095876
46,11.828383,2.718725,9.109658,18.07167,0.051128,0.712668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9597,1.06838,0.9197,0.00096249,32.1,1.86684
47,11.686713,2.690918,8.995795,17.844657,0.051636,0.708848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9662,0.777953,0.9412,0.00096041,32.3,2.38681
48,11.598676,2.692334,8.906342,17.666342,0.052854,0.705281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9637,0.725608,0.9532,0.00095827,32.3,2.599871
49,11.402887,2.658427,8.74446,17.343645,0.051145,0.7008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9671,0.684208,0.9556,0.00095608,32.4,2.690107
50,11.325299,2.647733,8.677565,17.210406,0.051669,0.69779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743,0.760726,0.958,0.00095383,32.3,2.656982
51,11.125347,2.626713,8.498635,16.853624,0.051015,0.69272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716,0.772067,0.9628,0.00095154,32.0,2.612787
52,10.975764,2.605431,8.370333,16.597866,0.050741,0.688632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777,0.649745,0.9628,0.00094918,32.1,2.796757
53,10.857521,2.598072,8.259449,16.376943,0.049858,0.684843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775,0.874828,0.94,0.00094678,32.2,2.292035
54,10.753552,2.591921,8.161631,16.181871,0.050416,0.681753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.740279,0.97,0.00094432,32.0,2.793971
55,10.585613,2.570718,8.014895,15.889335,0.050104,0.677228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,0.804266,0.9341,0.00094181,32.6,2.405086
56,10.49682,2.565776,7.931045,15.722169,0.050314,0.674443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817,0.82501,0.9365,0.00093925,32.3,2.374153
57,10.334384,2.547461,7.786922,15.434938,0.049726,0.669671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,0.669301,0.9736,0.00093664,32.2,2.959027
58,10.248322,2.541142,7.707181,15.275946,0.049391,0.667379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842,0.649821,0.9748,0.00093398,31.9,3.059017
59,10.1571,2.534523,7.622577,15.107241,0.049109,0.665004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9866,0.508142,0.9772,0.00093126,32.2,3.280452
60,10.028071,2.527265,7.500806,14.864421,0.048988,0.661455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848,0.631781,0.97,0.0009285,32.3,2.927454
61,9.886803,2.515877,7.370926,14.605484,0.049463,0.657107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9875,0.547448,0.9772,0.00092569,32.3,3.281128
