epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
32,0.667335,0.417053,0.917617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.402116,0.9976,9.177e-05,20.6
33,0.666889,0.414668,0.919111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.409597,0.9964,9.117e-05,20.7
34,0.667313,0.419123,0.915503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.401129,0.9976,9.055e-05,20.5
35,0.666801,0.419896,0.913707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.404241,0.9976,8.991e-05,20.5
36,0.666213,0.419113,0.913314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.400172,0.9976,8.925e-05,20.4
37,0.664679,0.41634,0.913019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.406344,0.9964,8.857e-05,20.6
38,0.668234,0.42407,0.912399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.403483,0.9976,8.788e-05,20.8
39,0.662995,0.41297,0.913021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.399621,0.9976,8.717e-05,20.7
40,0.663517,0.417309,0.909724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.409387,0.9964,8.644e-05,20.8
41,0.662846,0.418069,0.907624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.394627,0.9964,8.569e-05,20.8
42,0.66011,0.409599,0.910621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.419148,0.9964,8.493e-05,20.8
43,0.660298,0.41542,0.905177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.414067,0.9952,8.415e-05,20.5
44,0.662307,0.419035,0.905578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.399795,0.9964,8.336e-05,20.6
45,0.662821,0.420878,0.904764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.398301,0.9964,8.255e-05,20.6
46,0.660266,0.415166,0.905367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.406157,0.9964,8.172e-05,20.9
47,0.655682,0.408872,0.902492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.399165,0.9976,8.088e-05,20.6
48,0.656722,0.407975,0.905468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.403847,0.9976,8.003e-05,20.6
49,0.65689,0.412331,0.901449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.410207,0.9964,7.916e-05,20.7
50,0.655216,0.410563,0.899869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.402644,0.9976,7.828e-05,20.8
51,0.655536,0.411015,0.900056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.388566,0.9976,7.738e-05,20.6
52,0.653595,0.409877,0.897312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.384876,0.9964,7.648e-05,20.6
53,0.657286,0.414506,0.900065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.394709,0.9976,7.556e-05,20.6
54,0.654149,0.408436,0.899862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.408272,0.9976,7.463e-05,20.6
55,0.653492,0.409976,0.897008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.395918,0.9976,7.369e-05,21.8
56,0.6547,0.413415,0.895985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.398613,0.9976,7.273e-05,21.6
57,0.651062,0.407,0.895124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.388681,0.9976,7.177e-05,20.8
58,0.650979,0.406985,0.894973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.394454,0.9964,7.08e-05,20.7
59,0.651949,0.410281,0.893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.385342,0.9976,6.981e-05,20.5
60,0.64972,0.406631,0.892809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.392743,0.9976,6.882e-05,20.7
61,0.649797,0.407327,0.892266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.382382,0.9964,6.782e-05,20.6
62,0.650816,0.409432,0.8922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.38014,0.9964,6.681e-05,20.5
63,0.649118,0.406986,0.89125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38494,0.9964,6.58e-05,20.6
64,0.646831,0.402139,0.891523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998,0.394608,0.9964,6.477e-05,20.7
65,0.645022,0.401071,0.888973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.382811,0.9964,6.374e-05,20.8
66,0.646249,0.403317,0.88918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.391098,0.9976,6.271e-05,20.8
67,0.646564,0.404714,0.888413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.386453,0.9964,6.166e-05,20.8
