epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
16,3.677731,29.80592,0.697139,0.0,0.0,0.697139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-3.12989211,0.094,4.553468,0.1211,0.00099895,34.0,-3.368794
17,3.774219,30.877531,0.686466,0.0,0.0,0.686466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.7391369,0.1289,3.107993,0.2854,0.00099856,34.3,-1.603148
18,3.871412,31.980694,0.673343,0.0,0.0,0.673343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.37073103,0.1625,5.104062,0.1595,0.00099813,34.2,-3.794292
19,3.971205,33.084851,0.66272,0.0,0.0,0.66272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-2.03337286,0.2101,2.26972,0.4197,0.00099763,34.4,-0.544611
20,4.064196,34.148033,0.649393,0.0,0.0,0.649393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.66670968,0.2588,2.589914,0.3981,0.00099707,34.1,-0.84775
21,4.01164,33.730857,0.638554,0.0,0.0,0.638554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-1.29982445,0.3128,1.912091,0.5384,0.00099646,34.3,0.452542
22,3.964808,33.360421,0.628765,0.0,0.0,0.628765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.98311869,0.3592,2.348278,0.4568,0.00099579,34.3,-0.362581
23,3.907105,32.889704,0.618134,0.0,0.0,0.618134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.59416882,0.4144,2.253246,0.4952,0.00099505,34.4,0.221127
24,3.83808,32.292012,0.608879,0.0,0.0,0.608879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-0.05404779,0.4778,1.967479,0.5468,0.00099427,34.2,0.602365
25,3.7589,31.605711,0.598329,0.0,0.0,0.598329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,0.5224249,0.5375,2.339612,0.5036,0.00099342,33.9,-0.165715
