epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,loss_fcd,loss_arcface_raw,loss_arcface_weighted,loss_logit_kd_weighted,logit_kd_effective_weight,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.754396,0.0024,,,-15.628503
1,2.72264,17.271954,0.995445,0.0,0.0,0.973296,44.297845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22857143,0.65437708,-14.75565476,0.97329571,17.2719542,1.72719544,0.02214892,0.0005,0.001,11.30719,0.0,0.00010095,30.3,-8.955139
2,2.514057,15.942355,0.919821,0.0,0.0,0.87967,40.150997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-11.43258929,0.87967035,15.94235461,1.59423549,0.040151,0.001,0.0018,8.184227,0.0024,0.00020095,29.6,-4.728591
3,2.539631,16.321335,0.907497,0.0,0.0,0.851566,37.287096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-10.03980655,0.85156638,16.32133481,1.63213351,0.05593064,0.0015,0.0015,7.220451,0.0036,0.00030095,29.5,-3.376532
4,2.684956,17.632358,0.92172,0.0,0.0,0.848814,36.453091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.71138393,0.84881369,17.63235833,1.76323586,0.07290619,0.002,0.0009,7.231366,0.0024,0.00040095,29.5,-3.459656
5,2.851268,19.143504,0.936918,0.0,0.0,0.846239,36.271629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.64456845,0.84623866,19.14350432,1.91435046,0.09067907,0.0025,0.0009,6.931932,0.0084,0.00050095,29.5,-3.34611
6,2.993997,20.47445,0.946552,0.0,0.0,0.838228,36.107952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.41034226,0.83822815,20.47445037,2.04744508,0.10832386,0.003,0.0009,7.034655,0.0108,0.00060095,29.5,-4.15548
7,3.111132,21.638853,0.947246,0.0,0.0,0.821937,35.802768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-9.01194196,0.82193672,21.63885275,2.16388533,0.12530969,0.0035,0.0015,6.05853,0.0228,0.00070095,29.5,-3.240781
8,3.195933,22.534688,0.942464,0.0,0.0,0.800589,35.468751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-8.35963542,0.80058899,22.53468839,2.25346887,0.14187501,0.004,0.003,6.248652,0.0288,0.00080095,29.4,-3.942428
9,3.288889,23.454986,0.943391,0.0,0.0,0.78525,35.142345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,-7.72738095,0.78524997,23.45498559,2.3454986,0.15814054,0.0045,0.0048,5.773993,0.03,0.00090095,29.5,-3.649557
