epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s
1,0.402301,0.183869,0.218433,0.0,0.0,0.0,0.187351,1.2e-05,0.216559,0.0,0.0,1.0,0.314212,0.9832,2e-08,22.2
2,0.404239,0.184916,0.219323,0.0,0.0,0.0,0.187251,0.0,0.21745,0.0,0.0,1.0,0.312892,0.9832,4e-08,21.4
3,0.402437,0.181446,0.220991,0.0,0.0,0.0,0.187308,1.6e-05,0.219117,0.0,0.0,1.0,0.310656,0.9832,6e-08,20.8
4,0.398033,0.178342,0.219691,0.0,0.0,0.0,0.188672,0.0,0.217805,0.0,0.0,1.0,0.307616,0.9832,8e-08,21.8
5,0.397919,0.176233,0.221686,0.0,0.0,0.0,0.18998,0.0,0.219786,0.0,0.0,1.0,0.304505,0.9832,1e-07,20.7
6,0.397095,0.175041,0.222054,0.0,0.0,0.0,0.188778,0.0,0.220166,0.0,0.0,1.0,0.300954,0.9832,1e-07,21.0
7,0.396523,0.171059,0.225464,0.0,0.0,0.0,0.194032,8e-06,0.223524,0.0,0.0,1.0,0.298129,0.9832,1e-07,22.0
8,0.391505,0.166036,0.22547,0.0,0.0,0.0,0.194843,0.0,0.223521,0.0,0.0,1.0,0.295338,0.9844,1e-07,28.8
9,0.398653,0.169502,0.229151,0.0,0.0,0.0,0.195422,0.0,0.227197,0.0,0.0,1.0,0.292828,0.9844,1e-07,29.2
10,0.396793,0.168961,0.227832,0.0,0.0,0.0,0.197267,0.0,0.225859,0.0,0.0,1.0,0.290288,0.9844,1e-07,28.8
11,0.394325,0.164241,0.230083,0.0,0.0,0.0,0.195102,0.0,0.228132,0.0,0.0,1.0,0.288187,0.9844,1e-07,29.5
12,0.394345,0.163221,0.231124,0.0,0.0,0.0,0.196475,0.0,0.229159,0.0,0.0,1.0,0.286233,0.9844,1e-07,29.6
